Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Chain,category
"Chilled Chick-n-Strips Tray, Large",110,5.0,1.0,0.0,25,300,6,0,1,10,Chick-fil-A,Other
"Chilled Chick-n-Strips Tray, Medium",110,5.0,1.0,0.0,25,300,6,0,1,10,Chick-fil-A,Other
"Chilled Chick-n-Strips Tray, Small",110,5.0,1.0,0.0,25,300,6,0,1,10,Chick-fil-A,Other
"Chilled Grilled Chicken Sub Sandwich Tray, Large",220,6.0,2.5,0.0,45,490,25,2,4,18,Chick-fil-A,Chicken
"Chilled Grilled Chicken Sub Sandwich Tray, Medium",220,6.0,2.5,0.0,45,490,25,2,4,18,Chick-fil-A,Chicken
"Chilled Grilled Chicken Sub Sandwich Tray, Small",220,6.0,2.5,0.0,45,490,25,2,4,18,Chick-fil-A,Chicken
"Chocolate Chunk Cookie And Chocolate Fudge Brownie Tray, Large",280,14.0,7.0,0.0,25,150,36,2,22,3,Chick-fil-A,Other
"Chocolate Chunk Cookie And Chocolate Fudge Brownie Tray, Small",280,14.0,7.0,0.0,25,150,36,2,22,3,Chick-fil-A,Other
"Chocolate Chunk Cookie Tray, Large",370,17.0,9.0,0.0,15,230,49,3,26,5,Chick-fil-A,Other
"Chocolate Chunk Cookie Tray, Small",370,17.0,9.0,0.0,15,230,49,3,26,5,Chick-fil-A,Other
"Chocolate Fudge Brownie Tray, Large",190,10.0,4.0,0.0,35,70,23,1,18,2,Chick-fil-A,Other
"Chocolate Fudge Brownie Tray, Small",190,10.0,4.0,0.0,35,70,23,1,18,2,Chick-fil-A,Other
"Fruit Tray, Large","1,580",0.0,0.0,0.0,0,0,369,58,273,16,Chick-fil-A,Other
"Fruit Tray, Small",780,0.0,0.0,0.0,0,0,182,29,134,8,Chick-fil-A,Other
"Garden Salad Tray, Large",630,36.0,23.0,1.0,110,850,41,17,21,38,Chick-fil-A,Salad
"Garden Salad Tray, Small",310,18.0,11.0,0.5,55,420,20,9,11,19,Chick-fil-A,Salad
Grilled Chicken Bundle,530,21.0,8.0,0.0,135,1390,37,3,9,49,Chick-fil-A,Chicken
"Hot Chick-fil-A Nuggets Tray, Large",30,1.5,0.0,0.0,10,150,1,0,0,3,Chick-fil-A,Other
"Hot Chick-fil-A Nuggets Tray, Medium",30,1.5,0.0,0.0,10,150,1,0,0,3,Chick-fil-A,Other
"Hot Chick-fil-A Nuggets Tray, Small",30,1.5,0.0,0.0,10,150,1,0,0,3,Chick-fil-A,Other
"Hot Chick-n-Strips Tray, Large",110,5.0,1.0,0.0,25,300,6,0,1,10,Chick-fil-A,Other
"Hot Chick-n-Strips Tray, Medium",110,5.0,1.0,0.0,25,300,6,0,1,10,Chick-fil-A,Other
"Hot Chick-n-Strips Tray, Small",110,5.0,1.0,0.0,25,300,6,0,1,10,Chick-fil-A,Other
"Kale Crunch Side Tray, Large","2,440",182.0,20.0,1.0,0,3080,166,49,92,63,Chick-fil-A,Side
"Kale Crunch Side Tray, Small","1,160",87.0,9.0,0.0,0,1420,77,23,42,30,Chick-fil-A,Side
"Mac & Cheese Tray, Large","9,850",625.0,355.0,7.0,"1,500",26060,616,63,71,442,Chick-fil-A,Other
"Mac & Cheese Tray, Small","4,930",312.0,178.0,3.5,750,13030,308,31,36,221,Chick-fil-A,Other
"Southwest Veggie Wrap Tray, Large",170,8.0,3.0,0.0,10,310,17,8,2,13,Chick-fil-A,Wrap
"Southwest Veggie Wrap Tray, Medium",170,8.0,3.0,0.0,10,310,17,8,2,13,Chick-fil-A,Wrap
"Southwest Veggie Wrap Tray, Small",170,8.0,3.0,0.0,10,310,17,8,2,13,Chick-fil-A,Wrap
"Spicy Chilled Grilled Chicken Sub Sandwich Tray, Large",220,6.0,2.5,0.0,40,660,25,2,5,16,Chick-fil-A,Chicken
"Spicy Chilled Grilled Chicken Sub Sandwich Tray, Medium",220,6.0,2.5,0.0,40,660,25,2,5,16,Chick-fil-A,Chicken
"Spicy Chilled Grilled Chicken Sub Sandwich Tray, Small",220,6.0,2.5,0.0,40,660,25,2,5,16,Chick-fil-A,Chicken
"Spicy Cool Wrap Tray, Large",170,7.0,2.0,0.0,40,630,15,7,2,20,Chick-fil-A,Wrap
"Spicy Cool Wrap Tray, Medium",170,7.0,2.0,0.0,40,630,15,7,2,20,Chick-fil-A,Wrap
"Spicy Cool Wrap Tray, Small",170,7.0,2.0,0.0,40,630,15,7,2,20,Chick-fil-A,Wrap
"Catering, Chick-fil-A Chicken Sandwich",420,18.0,3.5,0.0,70,1460,41,1,6,29,Chick-fil-A,Chicken
"Catering, Chick-fil-A Nuggets, 5 ct",160,7.0,1.5,0.0,50,760,7,0,1,17,Chick-fil-A,Other
"Catering, Chick-fil-A Nuggets, 8 ct",250,11.0,2.5,0.0,85,1210,11,0,1,27,Chick-fil-A,Other
"Catering, Chick-fil-A Nuggets, 12 ct",380,17.0,3.5,0.0,125,1820,16,0,1,40,Chick-fil-A,Other
"Catering, Chilled Grilled Chicken Sub Sandwich",440,12.0,5.0,0.0,90,980,49,5,9,36,Chick-fil-A,Chicken
"Catering, Spicy Chicken Sandwich",450,19.0,4.0,0.0,65,1730,45,1,6,28,Chick-fil-A,Chicken
"Catering, Spicy Chilled Grilled Chicken Sub Sandwich",430,12.0,5.0,0.0,85,1320,50,5,9,33,Chick-fil-A,Chicken
"Catering, 1% Chocolate Milk",140,2.0,1.5,0.0,10,160,23,0,21,7,Chick-fil-A,Other
"Catering, 1% Milk",90,2.0,1.5,0.0,10,105,10,0,10,7,Chick-fil-A,Other
"Catering, Bottled Diet Lemonade",60,0.0,0.0,0.0,0,10,17,0,12,0,Chick-fil-A,Other
"Catering, Bottled Lemonade",280,0.0,0.0,0.0,0,10,73,0,69,0,Chick-fil-A,Other
"Catering, Bottled Sweet Tea",190,0.0,0.0,0.0,0,15,48,0,48,0,Chick-fil-A,Other
"Catering, Bottled Unsweet Tea",0,0.0,0.0,0.0,0,15,0,0,0,0,Chick-fil-A,Other
"Catering, Chick-fil-A Diet Lemonade, Gallon",460,1.5,0.0,0.0,0,95,126,2,91,3,Chick-fil-A,Other
"Catering, Chick-fil-A Iced Tea (1/2 Sweet Tea, 1/2 Unsweet Tea), Gallon",790,0.0,0.0,0.0,0,0,205,0,205,0,Chick-fil-A,Other
"Catering, Chick-fil-A Lemonade (1/2 Lemonade, 1/2 Diet Lemonade), Gallon","1,390",0.5,0.0,0.0,0,40,389,1,350,1,Chick-fil-A,Other
"Catering, Chick-fil-A Lemonade, Gallon","2,090",1.5,0.0,0.0,0,95,549,2,517,2,Chick-fil-A,Other
"Catering, Coffee",0,0.0,0.0,0.0,0,80,0,0,0,0,Chick-fil-A,Other
"Catering, Freshly-Brewed Iced Tea Sweetened, Gallon","1,540",0.0,0.0,0.0,0,115,398,0,397,0,Chick-fil-A,Other
"Catering, Honest Kids Apple Juice",35,0.0,0.0,0.0,0,15,9,0,8,0,Chick-fil-A,Other
"Catering, Simply Orange",160,0.0,0.0,0.0,0,10,34,0,30,2,Chick-fil-A,Other
"Catering, Sunjoy (1/2 Sweet Tea, 1/2 Diet Lemonade), Gallon","1,030",1.0,0.0,0.0,0,50,270,1,252,1,Chick-fil-A,Other
"Catering, Sunjoy (1/2 Sweet Tea, 1/2 Lemonade), Gallon","1,970",0.0,0.0,0.0,0,0,506,2,481,2,Chick-fil-A,Other
"Catering, Sunjoy (1/2 Unsweet Tea, 1/2 Diet Lemonade), Gallon",240,1.0,0.0,0.0,0,50,65,1,47,1,Chick-fil-A,Other
"Catering, Sunjoy (1/2 Unsweet Tea, 1/2 Lemonade), Gallon","1,040",0.0,0.0,0.0,0,0,291,0,271,0,Chick-fil-A,Other
3 Piece French Toast Sticks,350,12.0,2.0,0.0,0,220,57,1,27,4,Burger King,Other
5 Piece French Toast Sticks,520,19.0,4.0,0.0,0,350,79,2,33,6,Burger King,Other
"Bacon, Egg, & Cheese Biscuit",450,30.0,14.0,1.0,235,1580,33,1,4,17,Burger King,Other
"Bacon, Egg, & Cheese Croissan'wich",410,25.0,12.0,1.0,260,1030,31,1,5,18,Burger King,Other
"Bacon, Sausage, Egg, & Cheese Biscuit",710,53.0,24.0,1.0,290,2390,35,1,4,29,Burger King,Other
"Bacon, Sausage, Egg, & Cheese Croissan'wich",670,48.0,22.0,1.0,315,1840,33,1,6,29,Burger King,Other
Breakfast Burrito Jr.,460,30.0,11.0,1.0,245,1290,30,2,3,18,Burger King,Other
"Double Sausage, Egg, & Cheese Biscuit",850,66.0,29.0,2.0,320,2530,34,1,4,33,Burger King,Other
"Double Sausage, Egg, & Cheese Croissan'wich",880,66.0,29.0,2.5,550,2200,33,1,5,39,Burger King,Other
Egg & Cheese Biscuit,410,27.0,13.0,0.5,225,1410,33,1,4,14,Burger King,Other
Egg & Cheese Croissan'wich,370,22.0,11.0,1.0,250,870,31,1,5,15,Burger King,Other
Egg-Normous Burrito,830,46.0,17.0,1.5,450,2060,69,4,4,35,Burger King,Other
Fully Loaded Biscuit,640,44.0,20.0,1.0,285,2340,34,1,4,31,Burger King,Other
Fully Loaded Croissan'wich,710,49.0,22.0,1.0,330,2240,34,1,6,35,Burger King,Other
"Ham, Egg, & Cheese Biscuit",450,27.0,13.0,1.0,245,1820,34,1,4,21,Burger King,Other
"Ham, Egg, & Cheese Croissan'wich",410,23.0,11.0,1.0,265,1270,32,1,6,21,Burger King,Other
"Hash Browns, Large",740,48.0,9.0,0.0,0,2040,75,6,1,6,Burger King,Other
"Hash Browns, Medium",540,34.0,7.0,0.0,0,1480,54,5,0,4,Burger King,Other
"Hash Browns, Small",290,19.0,3.5,0.0,0,840,29,2,0,2,Burger King,Other
Pancake & Sausage Platter,620,29.0,9.0,0.0,75,1080,79,1,36,13,Burger King,Other
Pancake Platter,440,12.0,3.0,0.0,40,640,79,1,36,5,Burger King,Other
"Sausage, Egg, & Cheese Biscuit",590,43.0,19.0,1.0,260,1790,33,1,4,22,Burger King,Other
"Sausage, Egg, & Cheese Croissan'wich",550,38.0,17.0,1.0,285,1240,31,1,5,22,Burger King,Other
Sausage Biscuit,430,30.0,13.0,0.0,35,1150,30,1,2,11,Burger King,Other
Bacon Cheeseburger,340,16.0,7.0,0.0,45,940,31,1,7,18,Burger King,Burger
Bacon Double Cheeseburger,440,24.0,11.0,0.5,75,970,32,1,8,27,Burger King,Burger
Bacon King,"1,200",81.0,32.0,2.0,215,2270,58,3,16,66,Burger King,Other
BBQ Bacon Whopper Jr.,390,24.0,7.0,0.0,50,730,33,2,9,18,Burger King,Other
Cheeseburger,290,13.0,6.0,0.0,40,780,31,1,7,15,Burger King,Burger
Double Cheeseburger,400,21.0,9.0,0.5,70,810,32,1,8,24,Burger King,Burger
Double Whopper,920,60.0,20.0,0.5,150,1240,54,3,14,53,Burger King,Other
Double Whopper with Bacon,"1,010",68.0,21.0,1.5,175,1500,56,3,14,59,Burger King,Other
Double Whopper with Bacon & Cheese,"1,090",75.0,25.0,2.0,195,1830,59,3,15,62,Burger King,Other
Double Whopper with Cheese,"1,040",70.0,24.0,2.0,180,1580,58,3,15,58,Burger King,Other
Hamburger,250,10.0,4.0,0.0,30,560,29,1,7,13,Burger King,Burger
Impossible Whopper,630,34.0,10.0,0.0,15,1350,62,6,14,29,Burger King,Other
Rodeo Burger,340,13.0,4.5,0.0,35,500,41,2,10,16,Burger King,Burger
Rodeo Cheeseburger,380,17.0,7.0,0.0,45,700,42,2,10,17,Burger King,Burger
Steakhouse Bacon Whopper,890,53.0,19.0,1.0,130,1750,66,6,16,45,Burger King,Other
Texas Double Whopper,"1,090",75.0,25.0,2.0,195,2050,57,4,12,61,Burger King,Other
Triple Whopper,"1,170",80.0,27.0,1.5,235,1300,56,3,14,73,Burger King,Other
Triple Whopper with Bacon,"1,260",87.0,29.0,2.0,250,1560,56,4,14,79,Burger King,Other
Triple Whopper with Bacon & Cheese,"1,350",94.0,33.0,2.5,270,1990,60,4,15,83,Burger King,Other
Triple Whopper with Cheese,"1,300",90.0,33.0,2.5,265,1940,59,4,15,78,Burger King,Other
Whopper,670,41.0,12.0,0.0,85,1170,54,3,14,32,Burger King,Other
Whopper Jr.,330,19.0,5.0,0.0,35,560,30,2,7,15,Burger King,Other
Whopper Jr. with Bacon,380,24.0,7.0,0.0,50,730,30,2,7,19,Burger King,Other
Whopper Jr. with Bacon & Cheese,420,27.0,9.0,0.0,60,950,32,2,9,20,Burger King,Other
Whopper Jr. with Cheese,380,24.0,8.0,0.0,50,780,31,2,9,17,Burger King,Other
Whopper with Bacon,750,49.0,13.0,1.0,100,1430,55,3,14,38,Burger King,Other
Whopper with Bacon & Cheese,820,53.0,18.0,1.0,115,1850,58,3,16,41,Burger King,Other
Whopper with Cheese,770,51.0,15.0,1.5,110,1610,58,3,15,37,Burger King,Other
Bacon and Swiss Royal Crispy Chicken,740,45.0,11.0,0.0,110,1920,56,4,11,39,Burger King,Chicken
Big Fish,570,30.0,5.0,0.0,50,1270,58,3,8,19,Burger King,Fish
"Chicken Fries, 4 Piece",110,6.0,1.5,0.0,20,330,8,0,0,7,Burger King,Chicken
"Chicken Fries, 8 Piece",220,12.0,2.5,0.0,40,680,16,1,0,13,Burger King,Chicken
"Chicken Fries, 12 Piece",340,18.0,4.0,0.0,60,1030,25,1,0,20,Burger King,Chicken
Chicken Jr.,440,27.0,5.0,0.0,40,700,39,2,5,13,Burger King,Chicken
"Chicken Nuggets, 4 Piece",190,12.0,2.5,0.0,30,490,12,1,0,9,Burger King,Chicken
"Chicken Nuggets, 8 Piece",390,25.0,5.0,0.0,55,990,23,2,0,18,Burger King,Chicken
"Chicken Nuggets, 16 Piece",770,49.0,10.0,0.0,110,1980,45,3,0,37,Burger King,Chicken
Fiery Big Fish,730,46.0,8.0,0.0,55,1530,61,3,11,19,Burger King,Fish
"Fiery Chicken Fries, 4 Piece",130,8.0,1.0,0.0,15,410,9,0,0,6,Burger King,Chicken
"Fiery Chicken Fries, 8 Piece",260,16.0,3.0,0.0,30,810,18,1,0,12,Burger King,Chicken
"Fiery Chicken Fries, 12 Piece",400,24.0,4.0,0.0,50,1220,26,1,0,18,Burger King,Chicken
Fiery Royal Crispy Chicken,760,49.0,8.0,0.0,80,1580,58,4,12,31,Burger King,Chicken
Fiery Royal Crispy Wrap,390,25.0,5.0,0.0,40,920,30,5,3,15,Burger King,Wrap
Honey Mustard Royal Crispy Wrap,290,14.0,3.0,0.0,35,790,30,4,5,15,Burger King,Wrap
Original Chicken Sandwich,680,39.0,7.0,0.0,65,1380,63,3,8,23,Burger King,Chicken
Royal Crispy Chicken,600,33.0,5.0,0.0,80,1330,54,4,10,31,Burger King,Chicken
Royal Crispy Wrap,310,17.0,3.0,0.0,40,790,28,4,2,15,Burger King,Wrap
20oz Bottle Coca-Cola,240,0.0,0.0,0.0,0,75,65,0,65,0,Burger King,Other
20oz Bottle Diet Coke,0,0.0,0.0,0.0,0,70,0,0,0,0,Burger King,Other
20oz Bottle Sprite,230,0.0,0.0,0.0,0,110,64,0,63,0,Burger King,Other
"Barq's Root Beer, Large",460,0.0,0.0,0.0,0,110,126,0,126,0,Burger King,Other
"Barq's Root Beer, Medium",360,0.0,0.0,0.0,0,85,97,0,97,0,Burger King,Other
"Barqs Root Beer, Small",240,0.0,0.0,0.0,0,55,65,0,65,0,Burger King,Other
"Barqs Root Beer, Value",190,0.0,0.0,0.0,0,45,51,0,50,0,Burger King,Other
"Coca-Cola, Large",430,0.0,0.0,0.0,0,105,116,0,116,0,Burger King,Other
"Coca-Cola, Medium",330,0.0,0.0,0.0,0,80,90,0,90,0,Burger King,Other
"Coca-Cola, Small",220,0.0,0.0,0.0,0,55,60,0,60,0,Burger King,Other
"Coca-Cola, Value",170,0.0,0.0,0.0,0,40,47,0,47,0,Burger King,Other
"Coca-Cola Zero, Large",0,0.0,0.0,0.0,0,110,0,0,0,0,Burger King,Other
"Coca-Cola Zero, Medium",0,0.0,0.0,0.0,0,85,0,0,0,0,Burger King,Other
"Coca-Cola Zero, Small",0,0.0,0.0,0.0,0,60,0,0,0,0,Burger King,Other
"Coca-Cola Zero, Value",0,0.0,0.0,0.0,0,45,0,0,0,0,Burger King,Other
"Diet Barq's Root Beer, Large",0,0.0,0.0,0.0,0,115,1,0,0,0,Burger King,Other
"Diet Barq's Root Beer, Medium",0,0.0,0.0,0.0,0,90,1,0,0,0,Burger King,Other
"Diet Barqs Root Beer, Small",0,0.0,0.0,0.0,0,60,0,0,0,0,Burger King,Other
"Diet Barqs Root Beer, Value",0,0.0,0.0,0.0,0,45,0,0,0,0,Burger King,Other
"Diet Coke, Large",0,0.0,0.0,0.0,0,110,1,0,0,0,Burger King,Other
"Diet Coke, Medium",0,0.0,0.0,0.0,0,85,0,0,0,0,Burger King,Other
"Diet Coke, Small",0,0.0,0.0,0.0,0,55,0,0,0,0,Burger King,Other
"Diet Coke, Value",0,0.0,0.0,0.0,0,45,0,0,0,0,Burger King,Other
"Dr Pepper, Large",410,0.0,0.0,0.0,0,110,109,0,108,0,Burger King,Other
"Dr Pepper, Medium",320,0.0,0.0,0.0,0,100,88,0,86,0,Burger King,Other
"Dr Pepper, Small",220,0.0,0.0,0.0,0,65,59,0,57,0,Burger King,Other
"Dr Pepper, Value",170,0.0,0.0,0.0,0,50,46,0,45,0,Burger King,Other
"Fanta Orange, Large",450,0.0,0.0,0.0,0,105,122,0,122,0,Burger King,Other
"Fanta Orange, Medium",350,0.0,0.0,0.0,0,85,94,0,94,0,Burger King,Other
"Fanta Orange, Small",230,0.0,0.0,0.0,0,55,63,0,63,0,Burger King,Other
"Fanta Orange, Value",180,0.0,0.0,0.0,0,45,49,0,49,0,Burger King,Other
Fat Free Milk,90,0.0,0.0,0.0,<5,125,13,0,12,9,Burger King,Other
"Frozen Coke, Large",230,0.0,0.0,0.0,0,95,63,0,63,0,Burger King,Other
"Frozen Coke, Medium",160,0.0,0.0,0.0,0,65,44,0,44,0,Burger King,Other
"Frozen Coke, Small",130,0.0,0.0,0.0,0,50,35,0,35,0,Burger King,Other
"Frozen Fanta Blue Raspberry, Large",230,0.0,0.0,0.0,0,110,62,0,62,0,Burger King,Other
"Frozen Fanta Blue Raspberry, Medium",160,0.0,0.0,0.0,0,75,43,0,43,0,Burger King,Other
"Frozen Fanta Blue Raspberry, Small",130,0.0,0.0,0.0,0,60,34,0,34,0,Burger King,Other
"Frozen Fanta Wild Cherry, Large",230,0.0,0.0,0.0,0,115,62,0,62,0,Burger King,Other
"Frozen Fanta Wild Cherry, Medium",160,0.0,0.0,0.0,0,80,43,0,43,0,Burger King,Other
"Frozen Fanta Wild Cherry, Small",130,0.0,0.0,0.0,0,60,34,0,34,0,Burger King,Other
"Frozen Pink Lemonade, Large",170,0.0,0.0,0.0,0,135,43,0,43,0,Burger King,Other
"Frozen Pink Lemonade, Medium",140,0.0,0.0,0.0,0,105,35,0,35,0,Burger King,Other
"Frozen Pink Lemonade, Small",100,0.0,0.0,0.0,0,80,26,0,26,0,Burger King,Other
"Hi-C Fruit Punch, Large",490,0.0,0.0,0.0,0,105,123,0,122,0,Burger King,Other
"Hi-C Fruit Punch, Medium",380,0.0,0.0,0.0,0,80,95,0,94,0,Burger King,Other
"Hi-C Fruit Punch, Small",250,0.0,0.0,0.0,0,55,63,0,63,0,Burger King,Other
"Hi-C Fruit Punch, Value",200,0.0,0.0,0.0,0,40,49,0,49,0,Burger King,Other
"Hi-C Pink Lemonade, Large",430,0.0,0.0,0.0,0,310,112,0,112,0,Burger King,Other
"Hi-C Pink Lemonade, Medium",330,0.0,0.0,0.0,0,240,87,0,86,0,Burger King,Other
"Hi-C Pink Lemonade, Small",220,0.0,0.0,0.0,0,160,58,0,58,0,Burger King,Other
"Hi-C Pink Lemonade, Value",170,0.0,0.0,0.0,0,125,45,0,45,0,Burger King,Other
Honest Kids Apple Juice Drink,35,0.0,0.0,0.0,0,10,9,0,8,0,Burger King,Drink
"Mello Yello, Large",370,0.0,0.0,0.0,0,110,100,0,100,0,Burger King,Other
"Mello Yello, Medium",290,0.0,0.0,0.0,0,85,77,0,77,0,Burger King,Other
"Mello Yello, Small",190,0.0,0.0,0.0,0,55,52,0,51,0,Burger King,Other
"Mello Yello, Value",170,0.0,0.0,0.0,0,50,46,0,46,0,Burger King,Other
"Minute Maid Lemonade, Large",380,0.0,0.0,0.0,0,95,101,0,101,0,Burger King,Other
"Minute Maid Lemonade, Medium",260,0.0,0.0,0.0,0,60,67,0,67,0,Burger King,Other
"Minute Maid Lemonade, Small",200,0.0,0.0,0.0,0,50,54,0,54,0,Burger King,Other
"Mocha Iced Coffee, Large",300,13.0,7.0,0.0,40,70,45,2,41,3,Burger King,Other
"Mocha Iced Coffee, Medium",240,10.0,6.0,0.0,30,55,35,1,32,2,Burger King,Other
"Mocha Iced Coffee Small, Small",180,8.0,4.0,0.0,25,40,27,1,25,2,Burger King,Other
"Plain Iced Coffee, Large",250,13.0,7.0,0.0,40,50,34,0,34,2,Burger King,Other
"Plain Iced Coffee, Medium",200,10.0,5.0,0.0,30,40,27,0,27,2,Burger King,Other
"Plain Iced Coffee Small, Small",150,8.0,4.0,0.0,25,30,21,0,21,1,Burger King,Other
"Powerade Zero, Large",20,0.0,0.0,0.0,0,330,3,0,0,0,Burger King,Other
"Powerade Zero, Medium",15,0.0,0.0,0.0,0,260,2,0,0,0,Burger King,Other
"Powerade Zero, Small",10,0.0,0.0,0.0,0,170,1,0,0,0,Burger King,Other
"Powerade Zero, Value",5,0.0,0.0,0.0,0,135,1,0,0,0,Burger King,Other
Simply Orange Juice,160,0.0,0.0,0.0,0,0,37,0,33,2,Burger King,Other
"Sprite, Large",400,0.0,0.0,0.0,0,105,106,0,106,0,Burger King,Other
"Sprite, Medium",310,0.0,0.0,0.0,0,80,82,0,82,0,Burger King,Other
"Sprite, Small",210,0.0,0.0,0.0,0,55,55,0,55,0,Burger King,Other
"Sprite, Value",160,0.0,0.0,0.0,0,45,42,0,42,0,Burger King,Other
"Sprite Zero, Large",15,0.0,0.0,0.0,0,115,1,0,0,0,Burger King,Other
"Sprite Zero, Medium",10,0.0,0.0,0.0,0,85,1,0,0,0,Burger King,Other
"Sprite Zero, Small",10,0.0,0.0,0.0,0,60,55,0,55,0,Burger King,Other
"Sprite Zero, Value",5,0.0,0.0,0.0,0,45,1,0,0,0,Burger King,Other
"Sweetened Iced Tea, Large",240,0.0,0.0,0.0,0,0,71,0,71,0,Burger King,Other
"Sweetened Iced Tea, Medium",160,0.0,0.0,0.0,0,0,49,0,49,0,Burger King,Other
"Sweetened Iced Tea, Small",120,0.0,0.0,0.0,0,0,35,0,35,0,Burger King,Other
"Sweetened Iced Tea, Value",90,0.0,0.0,0.0,0,0,25,0,25,0,Burger King,Other
"Vanilla Iced Coffee, Large",260,13.0,7.0,0.0,40,50,34,0,34,2,Burger King,Other
"Vanilla Iced Coffee, Medium",200,10.0,5.0,0.0,30,40,27,0,27,2,Burger King,Other
"Vanilla Iced Coffee, Small",150,8.0,4.0,0.0,25,30,21,0,21,1,Burger King,Other
"Cheesy Tots, 4 Piece",150,6.0,2.0,0.0,<5,510,20,1,0,4,Burger King,Other
"Cheesy Tots, 8 Piecce",300,12.0,3.5,0.0,10,1010,39,2,0,7,Burger King,Other
"French Fries, Large",440,19.0,3.0,0.0,0,320,64,5,1,5,Burger King,Side
"French Fries, Medium",370,16.0,2.0,0.0,0,270,54,4,1,5,Burger King,Side
"French Fries, Small",300,13.0,2.0,0.0,0,220,43,3,1,4,Burger King,Side
"French Fries, Value",230,10.0,1.0,0.0,0,170,33,2,1,3,Burger King,Side
"Have-sies, Large",510,22.0,3.5,0.0,0,910,71,6,4,6,Burger King,Other
"Have-sies, Medium",380,17.0,2.5,0.0,0,690,54,5,3,5,Burger King,Other
"Have-sies, Small",320,14.0,2.0,0.0,0,580,45,4,3,4,Burger King,Other
"Have-sies, Value",220,10.0,1.5,0.0,0,400,31,3,2,3,Burger King,Other
"Jalapeno Cheddar Bites, 4 Piece",170,9.0,3.5,0.0,15,450,18,1,1,5,Burger King,Other
"Jalapeno Cheddar Bites, 8 Piece",340,18.0,7.0,0.0,25,910,36,3,2,10,Burger King,Other
Mott's Applesauce,50,0.0,0.0,0.0,0,0,13,1,11,0,Burger King,Other
"Mozzarella Fries, 4 Piece",240,12.0,4.0,0.0,20,790,24,1,2,10,Burger King,Side
"Mozzarella Fries, 8 Piece",510,25.0,8.0,1.0,40,2010,55,3,8,23,Burger King,Side
"Mozzarella Fries, 12 Piece",730,36.0,13.0,1.0,60,2350,71,3,5,29,Burger King,Side
"Onion Rings, Large",520,24.0,4.0,0.0,0,950,70,7,7,7,Burger King,Other
"Onion Rings, Medium",360,16.0,2.5,0.0,0,640,48,5,5,4,Burger King,Other
"Onion Rings, Small",280,13.0,2.0,0.0,0,510,37,4,4,4,Burger King,Other
"Onion Rings, Value",200,9.0,1.5,0.0,0,370,27,3,3,3,Burger King,Other
Chocolate Chip Cookies,160,8.0,4.0,0.0,10,110,23,<1,14,2,Burger King,Other
Chocolate Oreo Shake,670,17.0,10.0,0.5,55,470,116,2,91,13,Burger King,Other
Chocolate Shake,590,14.0,9.0,0.5,55,420,103,1,84,13,Burger King,Other
"Churro Fries, 4 Piece",190,7.0,3.0,0.0,10,150,31,0,13,2,Burger King,Side
"Churro Fries, 8 Piece",300,14.0,5.0,0.0,20,280,43,1,13,3,Burger King,Side
"Churro Fries, 12 Piece",490,20.0,8.0,0.0,30,430,75,1,26,4,Burger King,Side
Classic Oreo Shake,640,17.0,10.0,0.5,55,460,109,1,86,13,Burger King,Other
Hershey's Sundae Pie,310,18.0,12.0,0.0,10,230,32,1,22,3,Burger King,Other
Soft Serve Cone,200,5.0,3.5,0.0,20,150,33,0,22,5,Burger King,Other
Soft Serve Cup,180,5.0,3.5,0.0,20,150,28,0,22,4,Burger King,Other
Strawberry Shake,610,14.0,9.0,0.0,55,420,110,1,92,12,Burger King,Other
Vanilla Shake,560,14.0,9.0,0.5,55,400,96,0,79,12,Burger King,Other
Apple Pie Poppers,80,5.0,1.5,0.0,0,55,9,1,3,1,KFC,Other
Cherry Pie Poppers,70,4.5,0.0,0.0,0,40,7,0,2,1,KFC,Other
KFC Chicken Sandwich - Chipotle Ranch,670,38.0,5.0,0.0,90,1330,49,1,7,34,KFC,Chicken
KFC Chicken Sandwich - Honey BBQ,600,26.0,3.0,0.0,80,1330,58,1,15,34,KFC,Chicken
KFC Chicken Sandwich - Honey Garlic,610,26.0,3.0,0.0,80,1370,61,1,16,34,KFC,Chicken
KFC Chicken Sandwich - Korean BBQ,620,27.0,3.0,0.0,80,1580,61,1,17,34,KFC,Chicken
KFC Chicken Sandwich - Mango Habanero,590,26.0,3.0,0.0,80,1330,56,1,13,34,KFC,Chicken
KFC Saucy Nuggets - Chipotle Ranch (1),50,4.0,0.5,0.0,15,160,1,0,0,4,KFC,Other
KFC Saucy Nuggets - Honey BBQ (1),45,1.5,0.0,0.0,15,170,4,0,2,4,KFC,Other
KFC Saucy Nuggets - Honey Garlic (1),40,1.5,0.0,0.0,15,160,3,0,1,4,KFC,Other
KFC Saucy Nuggets - Korean BBQ (1),45,1.5,0.0,0.0,15,210,4,0,2,4,KFC,Other
KFC Saucy Nuggets - Mango Habanero (1),40,1.5,0.0,0.0,15,170,3,0,1,4,KFC,Other
Korean BBQ Loaded Fries Bowl,770,39.0,7.0,0.0,80,2640,76,8,23,27,KFC,Side
Korean BBQ Mac & Cheese Bowl,530,23.0,6.0,0.0,85,2250,52,2,12,30,KFC,Other
Mac & Cheese Bowl,480,22.0,6.0,0.0,85,1970,42,2,4,30,KFC,Other
