Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Chain,category
Hash Brown Scramble Bowl with Bacon,450,32.0,11.0,0.0,395,1060,15,2,2,23,Chick-fil-A,Other
"Hash Brown Scramble Bowl with Bacon, No Hash Browns",300,22.0,10.0,0.0,395,810,2,0,2,22,Chick-fil-A,Other
Hash Brown Scramble Bowl with Grilled Filet,420,26.0,8.0,0.0,420,1230,15,2,2,31,Chick-fil-A,Other
"Hash Brown Scramble Bowl with Grilled Filet, No Hash Browns",270,16.0,7.0,0.0,420,980,2,1,2,30,Chick-fil-A,Other
Hash Brown Scramble Bowl with No Meat,350,24.0,8.0,0.0,330,770,16,3,1,17,Chick-fil-A,Other
"Hash Brown Scramble Bowl with No Meat, No Hash Browns",200,14.0,6.0,0.0,330,530,3,2,1,16,Chick-fil-A,Other
Hash Brown Scramble Bowl with Nuggets,470,30.0,9.0,0.0,415,1350,19,2,2,29,Chick-fil-A,Other
"Hash Brown Scramble Bowl with Nuggets, No Hash Browns",320,20.0,8.0,0.0,415,1100,7,0,2,28,Chick-fil-A,Other
Hash Brown Scramble Bowl with Sausage,480,37.0,12.0,0.0,395,1020,15,2,1,23,Chick-fil-A,Other
"Hash Brown Scramble Bowl with Sausage, No Hash Browns",340,27.0,11.0,0.0,395,780,2,0,1,21,Chick-fil-A,Other
Hash Brown Scramble Bowl with Spicy Chicken,490,32.0,9.0,0.0,410,1470,22,2,2,28,Chick-fil-A,Chicken
"Hash Brown Scramble Bowl with Spicy Chicken, No Hash Browns",340,21.0,8.0,0.0,410,1230,10,1,2,27,Chick-fil-A,Chicken
Hash Brown Scramble Burrito with Bacon,680,42.0,14.0,0.5,395,1630,46,3,2,30,Chick-fil-A,Other
"Hash Brown Scramble Burrito with Bacon, No Hash Browns",540,32.0,13.0,0.5,395,1230,34,2,2,27,Chick-fil-A,Other
Hash Brown Scramble Burrito with Grilled Filet,650,36.0,12.0,0.5,420,1650,46,3,2,36,Chick-fil-A,Other
"Hash Brown Scramble Burrito with Grilled Filet, No Hash Brown",500,26.0,10.0,0.5,420,1410,34,2,2,35,Chick-fil-A,Other
Hash Brown Scramble Burrito with No Meat,580,34.0,11.0,0.5,330,1200,47,5,1,22,Chick-fil-A,Other
"Hash Brown Scramble Burrito with No Meat, No Hash Browns",440,24.0,10.0,0.5,330,950,35,3,1,21,Chick-fil-A,Other
Hash Brown Scramble Burrito with Nuggets,700,40.0,12.0,0.5,415,1770,51,3,2,34,Chick-fil-A,Other
"Hash Brown Scramble Burrito with Nuggets, No Hash Browns",550,30.0,11.0,0.5,415,1530,38,2,2,33,Chick-fil-A,Other
Hash Brown Scramble Burrito with Sausage,720,47.0,16.0,0.5,395,1450,46,3,1,28,Chick-fil-A,Other
"Hash Brown Scramble Burrito with Sausage, No Hash Browns",570,37.0,14.0,0.5,395,1200,34,2,1,26,Chick-fil-A,Other
Hash Brown Scramble Burrito with Spicy Chicken,660,37.0,11.0,0.5,250,1750,54,3,2,28,Chick-fil-A,Chicken
"Hash Brown Scramble Burrito with Spicy Chicken, No Hash Browns",510,27.0,10.0,0.5,250,1510,41,2,2,27,Chick-fil-A,Chicken
"Mini Yeast Rolls, 4 ct",240,8.0,2.5,0.0,20,450,36,2,7,6,Chick-fil-A,Other
"Sausage, Egg & Cheese Biscuit",620,42.0,18.0,0.0,205,1510,38,2,4,22,Chick-fil-A,Other
"Sausage, Egg & Cheese Muffin",490,32.0,13.0,0.0,205,1000,29,1,1,23,Chick-fil-A,Other
Spicy Chicken Biscuit,450,22.0,8.0,0.0,40,1570,44,2,5,19,Chick-fil-A,Chicken
"Chick-fil-A Chick-n-Strips, 2 ct",200,9.0,2.0,0.0,50,580,11,0,1,19,Chick-fil-A,Other
"Chick-fil-A Chick-n-Strips, 3 ct",310,14.0,2.5,0.0,75,870,16,0,2,29,Chick-fil-A,Other
"Chick-fil-A Chick-n-Strips, 4 ct",410,19.0,3.5,0.0,100,1150,22,0,2,39,Chick-fil-A,Other
Chick-fil-A Cool Wrap,660,45.0,9.0,0.0,110,1420,32,14,5,43,Chick-fil-A,Wrap
Chick-fil-A Chicken Sandwich,420,18.0,3.5,0.0,70,1460,41,1,6,29,Chick-fil-A,Chicken
Chick-fil-A Deluxe Sandwich with American,490,22.0,6.0,0.0,85,1700,43,1,7,32,Chick-fil-A,Sandwich
Chick-fil-A Deluxe Sandwich with Colby Jack,510,24.0,8.0,0.0,90,1610,43,1,7,34,Chick-fil-A,Sandwich
Chick-fil-A Deluxe Sandwich with No Cheese,430,18.0,3.5,0.0,70,1470,43,1,7,29,Chick-fil-A,Sandwich
Chick-fil-A Deluxe Sandwich with Pepper Jack,510,24.0,7.0,0.0,90,1610,43,1,7,34,Chick-fil-A,Sandwich
