Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Chain,Protein per 100 Cal,Category,Size
Spicy Deluxe Sandwich with American,510.0,23.0,6.0,0.0,80.0,1970.0,47.0,2.0,7.0,31,Chick-Fil-A,6.078431372549019,['Chicken'],N/A
Spicy Deluxe Sandwich with Colby Jack,540.0,26.0,8.0,0.0,85.0,1880.0,47.0,2.0,7.0,34,Chick-Fil-A,6.296296296296296,['Chicken'],N/A
Spicy Deluxe Sandwich with No Cheese,460.0,19.0,4.0,0.0,65.0,1730.0,46.0,2.0,7.0,28,Chick-Fil-A,6.086956521739131,['Chicken'],N/A
Spicy Deluxe Sandwich with Pepper Jack,520.0,25.0,7.0,0.0,80.0,1790.0,46.0,2.0,7.0,31,Chick-Fil-A,5.961538461538462,['Chicken'],N/A
Cobb Salad,830.0,60.0,13.0,0.0,230.0,2220.0,31.0,5.0,8.0,42,Chick-Fil-A,5.0602409638554215,['Salad'],N/A
Cobb Salad with Chick-fil-A Chick-n-Strips,890.0,63.0,13.0,0.0,220.0,1880.0,37.0,5.0,9.0,44,Chick-Fil-A,4.943820224719101,"['Chicken', 'Salad']",N/A
Cobb Salad with Chick-fil-A Filet,830.0,60.0,13.0,0.0,215.0,2130.0,33.0,5.0,9.0,39,Chick-Fil-A,4.698795180722891,"['Chicken', 'Salad']",N/A
Cobb Salad with Grilled Filet (Cold),690.0,50.0,11.0,0.0,220.0,1390.0,22.0,5.0,8.0,36,Chick-Fil-A,5.217391304347826,"['Chicken', 'Salad']",N/A
Cobb Salad with Grilled Filet (Warm),690.0,50.0,11.0,0.0,215.0,1380.0,22.0,5.0,8.0,36,Chick-Fil-A,5.217391304347826,"['Chicken', 'Salad']",N/A
Cobb Salad with Grilled Nuggets,710.0,52.0,11.0,0.0,230.0,1450.0,22.0,6.0,8.0,40,Chick-Fil-A,5.633802816901409,"['Chicken', 'Salad']",N/A
Cobb Salad with No Chicken,580.0,49.0,11.0,0.0,145.0,1010.0,21.0,5.0,7.0,15,Chick-Fil-A,2.586206896551724,"['Chicken', 'Salad']",N/A
Cobb Salad with Nuggets,830.0,60.0,13.0,0.0,230.0,2220.0,31.0,5.0,8.0,42,Chick-Fil-A,5.0602409638554215,"['Chicken', 'Salad']",N/A
Cobb Salad with Spicy Filet,860.0,62.0,13.0,0.0,210.0,2400.0,37.0,6.0,9.0,38,Chick-Fil-A,4.4186046511627906,"['Chicken', 'Salad']",N/A
Cobb Salad with Spicy Grilled Filet (Cold),690.0,51.0,11.0,0.0,210.0,1740.0,23.0,6.0,8.0,34,Chick-Fil-A,4.9275362318840585,"['Chicken', 'Salad']",N/A
Market Salad,550.0,31.0,6.0,0.0,80.0,1010.0,42.0,5.0,26.0,28,Chick-Fil-A,5.090909090909091,['Salad'],N/A
Market Salad with Chick-fil-A Chick-n-Strips,750.0,43.0,8.0,0.0,85.0,1500.0,57.0,5.0,27.0,36,Chick-Fil-A,4.8,"['Chicken', 'Salad']",N/A
Market Salad with Chick-fil-A Filet,690.0,41.0,8.0,0.0,80.0,1750.0,53.0,0.0,27.0,31,Chick-Fil-A,4.492753623188406,"['Chicken', 'Salad']",N/A
Market Salad with Grilled Filet (Cold),550.0,31.0,6.0,0.0,80.0,1010.0,42.0,5.0,26.0,28,Chick-Fil-A,5.090909090909091,"['Chicken', 'Salad']",N/A
Market Salad with Grilled Filet (Warm),550.0,31.0,6.0,0.0,80.0,1010.0,42.0,5.0,26.0,28,Chick-Fil-A,5.090909090909091,"['Chicken', 'Salad']",N/A
Market Salad with Grilled Nuggets,570.0,32.0,6.0,0.0,95.0,1080.0,41.0,6.0,27.0,32,Chick-Fil-A,5.614035087719298,"['Chicken', 'Salad']",N/A
Market Salad with No Chicken,440.0,29.0,6.0,0.0,10.0,640.0,40.0,5.0,26.0,7,Chick-Fil-A,1.5909090909090908,"['Chicken', 'Salad']",N/A
Market Salad with Nuggets,690.0,40.0,8.0,0.0,90.0,1850.0,51.0,5.0,27.0,34,Chick-Fil-A,4.9275362318840585,"['Chicken', 'Salad']",N/A
Market Salad with Spicy Filet,720.0,42.0,8.0,0.0,75.0,2020.0,56.0,6.0,27.0,30,Chick-Fil-A,4.166666666666666,"['Chicken', 'Salad']",N/A
Market Salad with Spicy Grilled Filet (Cold),540.0,31.0,6.0,0.0,70.0,1360.0,42.0,6.0,27.0,26,Chick-Fil-A,4.814814814814815,"['Chicken', 'Salad']",N/A
Spicy Southwest Salad,680.0,49.0,10.0,0.0,100.0,1570.0,27.0,7.0,7.0,33,Chick-Fil-A,4.852941176470589,"['Chicken', 'Salad']",N/A
Spicy Southwest Salad with Chick-fil-A Chick-n-Strips,880.0,60.0,12.0,0.0,115.0,1710.0,41.0,7.0,8.0,43,Chick-Fil-A,4.886363636363637,"['Chicken', 'Salad']",N/A
Spicy Southwest Salad with Chick-fil-A Filet,830.0,58.0,12.0,0.0,110.0,1960.0,37.0,7.0,8.0,38,Chick-Fil-A,4.578313253012048,"['Chicken', 'Salad']",N/A
Spicy Southwest Salad with Grilled Filet (Cold),680.0,48.0,10.0,0.0,110.0,1220.0,26.0,7.0,7.0,35,Chick-Fil-A,5.147058823529411,"['Chicken', 'Salad']",N/A
Spicy Southwest Salad with Grilled Filet (Warm),680.0,48.0,10.0,0.0,110.0,1220.0,26.0,7.0,7.0,35,Chick-Fil-A,5.147058823529411,"['Chicken', 'Salad']",N/A
Spicy Southwest Salad with Grilled Nuggets,700.0,49.0,10.0,0.0,125.0,1290.0,26.0,7.0,7.0,39,Chick-Fil-A,5.571428571428571,"['Chicken', 'Salad']",N/A
Spicy Southwest Salad with No Chicken,570.0,47.0,10.0,0.0,35.0,850.0,25.0,7.0,6.0,14,Chick-Fil-A,2.456140350877193,"['Chicken', 'Salad']",N/A
Spicy Southwest Salad with Nuggets,830.0,58.0,12.0,0.0,120.0,2060.0,36.0,7.0,7.0,40,Chick-Fil-A,4.819277108433735,"['Chicken', 'Salad']",N/A
Spicy Southwest Salad with Spicy Filet,850.0,60.0,12.0,0.0,105.0,2230.0,41.0,8.0,8.0,37,Chick-Fil-A,4.352941176470588,"['Chicken', 'Salad']",N/A
Spicy Southwest Salad with Spicy Grilled Filet (Cold),680.0,49.0,10.0,0.0,100.0,1570.0,27.0,7.0,7.0,33,Chick-Fil-A,4.852941176470589,"['Chicken', 'Salad']",N/A
Buddy Fruits Apple Sauce,45.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,8.0,0,Chick-Fil-A,0.0,['Side'],N/A
"Chick-fil-A Waffle Potato Fries, Large",600.0,35.0,5.0,0.0,0.0,340.0,65.0,7.0,1.0,7,Chick-Fil-A,1.1666666666666667,"['Chicken', 'Side']",Large
"Chick-fil-A Waffle Potato Fries, Medium",420.0,24.0,4.0,0.0,0.0,240.0,45.0,5.0,1.0,5,Chick-Fil-A,1.1904761904761905,"['Chicken', 'Side']",Medium
"Chick-fil-A Waffle Potato Fries, Small",320.0,19.0,3.0,0.0,0.0,190.0,35.0,4.0,1.0,4,Chick-Fil-A,1.25,"['Chicken', 'Side']",Small
"Chicken Noodle Soup, Bowl",280.0,6.0,2.0,0.0,55.0,2060.0,38.0,2.0,2.0,17,Chick-Fil-A,6.071428571428571,"['Chicken', 'Combo']",N/A
"Chicken Noodle Soup, Cup",170.0,4.0,1.0,0.0,30.0,1220.0,25.0,1.0,1.0,10,Chick-Fil-A,5.88235294117647,['Chicken'],N/A
