Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Chain,Protein per 100 Cal,Category,Size,Protein Calories,Fat Calories,Sugar Calories,Calculated Total Calories,Calorie Difference,Percentage Difference
Flatbread,140.0,3.0,0.0,0.0,0.0,220,24,,2.0,4,Subway,2.857142857142857,['Other'],N/A,16,27.0,8.0,51.0,-89.0,-0.6357142857142857
Mini Artisan Italian Bread,140.0,2.0,1.0,0.0,0.0,250,26,,2.0,5,Subway,3.571428571428571,['Other'],N/A,20,18.0,8.0,46.0,-94.0,-0.6714285714285714
Mini Hearty Multigrain Bread,130.0,2.0,0.0,0.0,0.0,230,24,2.0,2.0,6,Subway,4.615384615384616,['Other'],N/A,24,18.0,8.0,50.0,-80.0,-0.6153846153846154
Wrap,280.0,5.0,1.0,0.0,0.0,440,49,2.0,3.0,9,Subway,3.214285714285714,['Wrap'],N/A,36,45.0,12.0,93.0,-187.0,-0.6678571428571428
Baja Chipotle Sauce,70.0,7.0,1.0,0.0,,125,1,0.0,1.0,0,Subway,0.0,['Side'],N/A,0,63.0,4.0,67.0,-3.0,-0.04285714285714286
BBQ Sauce,25.0,0.0,0.0,0.0,0.0,115,6,0.0,5.0,0,Subway,0.0,['Side'],N/A,0,0.0,20.0,20.0,-5.0,-0.2
Creamy Sriracha Sauce,40.0,4.0,1.0,0.0,,240,2,0.0,1.0,0,Subway,0.0,['Side'],N/A,0,36.0,4.0,40.0,0.0,0.0
Frank's RedHot Buffalo Sauce,5.0,0.0,0.0,0.0,0.0,350,1,0.0,0.0,0,Subway,0.0,['Side'],N/A,0,0.0,0.0,0.0,-5.0,-1.0
Giardiniera,80.0,9.0,2.0,0.0,0.0,340,1,0.0,1.0,0,Subway,0.0,['Other'],N/A,0,81.0,4.0,85.0,5.0,0.0625
Honey Mustard Sauce,60.0,5.0,1.0,0.0,,125,3,0.0,3.0,0,Subway,0.0,['Side'],N/A,0,45.0,12.0,57.0,-3.0,-0.05
Mayonnaise,100.0,11.0,2.0,0.0,10.0,65,0,0.0,0.0,0,Subway,0.0,['Other'],N/A,0,99.0,0.0,99.0,-1.0,-0.01
MVP Parmesan Vinaigrette,60.0,6.0,1.0,0.0,0.0,140,1,0.0,1.0,0,Subway,0.0,['Other'],N/A,0,54.0,4.0,58.0,-2.0,-0.03333333333333333
Olive Oil Blend,45.0,5.0,0.0,0.0,0.0,0,0,0.0,0.0,0,Subway,0.0,['Other'],N/A,0,45.0,0.0,45.0,0.0,0.0
Olive Oil Blend & Vinegar,45.0,5.0,0.0,0.0,0.0,0,0,0.0,0.0,0,Subway,0.0,['Other'],N/A,0,45.0,0.0,45.0,0.0,0.0
Peppercorn Ranch Sauce,80.0,8.0,2.0,0.0,,100,1,0.0,1.0,0,Subway,0.0,['Side'],N/A,0,72.0,4.0,76.0,-4.0,-0.05
Roasted Garlic Aioli,80.0,9.0,2.0,0.0,,150,1,0.0,1.0,0,Subway,0.0,['Other'],N/A,0,81.0,4.0,85.0,5.0,0.0625
