Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Chain,Protein per 100 Cal,Category,Size,Protein Calories,Fat Calories,Sugar Calories,Calculated Total Calories,Calorie Difference,Percentage Difference
Chicken Salad,380.0,31.0,6.0,0.0,105.0,800,1,0.0,1.0,25,Subway,6.578947368421052,"['Chicken', 'Salad']",N/A,100,279.0,4.0,383.0,3.0,0.007894736842105263
Cold Cut Combo Meats,110.0,8.0,1.0,0.0,45.0,620,1,0.0,1.0,9,Subway,8.181818181818182,['Other'],N/A,36,72.0,4.0,112.0,2.0,0.01818181818181818
Egg Patty,180.0,15.0,4.0,0.0,240.0,220,2,0.0,0.0,10,Subway,5.555555555555555,['Breakfast'],N/A,40,135.0,0.0,175.0,-5.0,-0.027777777777777776
Genoa Salami,70.0,6.0,3.0,0.0,20.0,260,1,0.0,0.0,3,Subway,4.285714285714286,['Other'],N/A,12,54.0,0.0,66.0,-4.0,-0.05714285714285714
Grilled Chicken,80.0,2.0,2.0,0.0,50.0,210,1,0.0,1.0,16,Subway,20.0,['Chicken'],N/A,64,18.0,4.0,86.0,6.0,0.075
"Grilled Chicken, Buffalo",90.0,2.0,1.0,0.0,50.0,900,2,0.0,1.0,17,Subway,18.88888888888889,['Chicken'],N/A,68,18.0,4.0,90.0,0.0,0.0
"Grilled Chicken, Sweet Onion Teriyaki Glazed",110.0,2.0,1.0,0.0,50.0,350,9,0.0,8.0,16,Subway,14.545454545454545,"['Beverage', 'Chicken']",N/A,64,18.0,32.0,114.0,4.0,0.03636363636363636
Meatballs,250.0,18.0,7.0,0.0,35.0,720,13,2.0,5.0,12,Subway,4.8,['Other'],N/A,48,162.0,20.0,230.0,-20.0,-0.08
Oven Roasted Turkey,60.0,2.0,1.0,0.0,25.0,450,0,0.0,0.0,11,Subway,18.333333333333332,['Other'],N/A,44,18.0,0.0,62.0,2.0,0.03333333333333333
Pastrami,130.0,10.0,3.0,0.0,35.0,470,1,0.0,1.0,9,Subway,6.923076923076923,['Other'],N/A,36,90.0,4.0,130.0,0.0,0.0
Pepperoni,80.0,7.0,3.0,0.0,20.0,290,1,0.0,0.0,3,Subway,3.75,['Other'],N/A,12,63.0,0.0,75.0,-5.0,-0.0625
Roast Beef,80.0,2.0,1.0,0.0,35.0,420,2,0.0,2.0,15,Subway,18.75,['Other'],N/A,60,18.0,8.0,86.0,6.0,0.075
Rotisserie-Style Chicken,90.0,4.0,1.0,0.0,50.0,400,0,0.0,0.0,15,Subway,16.666666666666664,['Chicken'],N/A,60,36.0,0.0,96.0,6.0,0.06666666666666667
Steak,110.0,5.0,2.0,0.0,55.0,450,2,0.0,1.0,17,Subway,15.454545454545453,['Beverage'],N/A,68,45.0,4.0,117.0,7.0,0.06363636363636363
"Subway Club Meats (Turkey, Ham, Roast Beef)",110.0,3.0,1.0,0.0,45.0,690,3,0.0,2.0,17,Subway,15.454545454545453,['Other'],N/A,68,27.0,8.0,103.0,-7.0,-0.06363636363636363
Tuna,250.0,23.0,2.0,0.0,40.0,310,0,0.0,0.0,12,Subway,4.8,['Other'],N/A,48,207.0,0.0,255.0,5.0,0.02
Veggie Patty,170.0,9.0,1.0,0.0,0.0,320,17,8.0,2.0,6,Subway,3.5294117647058822,['Breakfast'],N/A,24,81.0,8.0,113.0,-57.0,-0.3352941176470588
Applesauce,70.0,0.0,0.0,0.0,0.0,0,16,3.0,13.0,0,Subway,0.0,['Side'],N/A,0,0.0,52.0,52.0,-18.0,-0.2571428571428571
Chocolate Chip Cookie,210.0,10.0,5.0,0.0,10.0,120,30,,18.0,2,Subway,0.9523809523809524,['Dessert'],N/A,8,90.0,72.0,170.0,-40.0,-0.19047619047619047
Double Chocolate Cookie,210.0,9.0,5.0,0.0,15.0,125,29,1.0,20.0,2,Subway,0.9523809523809524,['Dessert'],N/A,8,81.0,80.0,169.0,-41.0,-0.19523809523809524
Oatmeal Raisin Cookie,200.0,8.0,4.0,0.0,15.0,110,30,1.0,16.0,3,Subway,1.5,['Dessert'],N/A,12,72.0,64.0,148.0,-52.0,-0.26
Raspberry Cheesecake Cookie,210.0,9.0,5.0,0.0,15.0,115,29,0.0,16.0,2,Subway,0.9523809523809524,['Dessert'],N/A,8,81.0,64.0,153.0,-57.0,-0.2714285714285714
White Chip Macadamia Nut Cookie,210.0,10.0,5.0,0.0,15.0,125,28,,17.0,2,Subway,0.9523809523809524,['Dessert'],N/A,8,90.0,68.0,166.0,-44.0,-0.20952380952380953
Chicken & Cheese Dipper,400.0,13.0,5.0,0.0,45.0,960,51,2.0,4.0,21,Subway,5.25,['Chicken'],N/A,84,117.0,16.0,217.0,-183.0,-0.4575
"Churro, Footlong",190.0,9.0,4.0,0.0,15.0,135,28,0.0,8.0,1,Subway,0.5263157894736842,['Other'],N/A,4,81.0,32.0,117.0,-73.0,-0.38421052631578945
Doritos Footlong Nachos,550.0,39.0,11.0,1.0,45.0,980,38,3.0,4.0,13,Subway,2.3636363636363638,['Other'],N/A,52,351.0,16.0,419.0,-131.0,-0.2381818181818182
Doritos Footlong Nachos with Chicken,590.0,41.0,11.0,1.0,70.0,1180,38,3.0,4.0,20,Subway,3.389830508474576,['Chicken'],N/A,80,369.0,16.0,465.0,-125.0,-0.211864406779661
Doritos Footlong Nachos with Sliced Avocado,590.0,43.0,11.0,1.0,45.0,980,40,5.0,4.0,13,Subway,2.2033898305084745,['Beverage'],N/A,52,387.0,16.0,455.0,-135.0,-0.2288135593220339
Doritos Footlong Nachos with Smashed Avocado,600.0,44.0,11.0,1.0,45.0,980,41,5.0,5.0,13,Subway,2.166666666666667,['Other'],N/A,52,396.0,20.0,468.0,-132.0,-0.22
Doritos Footlong Nachos with Steak,600.0,41.0,11.0,1.0,75.0,1200,39,3.0,5.0,21,Subway,3.5000000000000004,['Beverage'],N/A,84,369.0,20.0,473.0,-127.0,-0.21166666666666667
Double Cheese Dipper,470.0,21.0,10.0,1.0,50.0,1030,52,2.0,4.0,19,Subway,4.042553191489362,['Other'],N/A,76,189.0,16.0,281.0,-189.0,-0.4021276595744681
Footlong Pretzel,330.0,10.0,4.0,0.0,15.0,1340,53,7.0,9.0,10,Subway,3.0303030303030303,['Other'],N/A,40,90.0,36.0,166.0,-164.0,-0.49696969696969695
Hash Browns,190.0,9.0,3.0,0.0,0.0,600,24,3.0,1.0,3,Subway,1.5789473684210527,['Breakfast'],N/A,12,81.0,4.0,97.0,-93.0,-0.48947368421052634
Pepperoni & Cheese Dipper,470.0,22.0,9.0,0.0,50.0,1250,51,2.0,4.0,17,Subway,3.6170212765957444,['Other'],N/A,68,198.0,16.0,282.0,-188.0,-0.4
Broccoli Cheddar Soup,200.0,13.0,8.0,0.0,45.0,960,16,,7.0,9,Subway,4.5,['Other'],N/A,36,117.0,28.0,181.0,-19.0,-0.095
Chicken Noodle Soup,70.0,3.0,1.0,0.0,15.0,1160,6,,1.0,7,Subway,10.0,['Chicken'],N/A,28,27.0,4.0,59.0,-11.0,-0.15714285714285714
Loaded Baked Potato with Bacon Soup,200.0,14.0,7.0,0.0,45.0,910,17,1.0,4.0,9,Subway,4.5,['Breakfast'],N/A,36,126.0,16.0,178.0,-22.0,-0.11
Chicken & Cheese Dipper,400.0,13.0,5.0,0.0,45.0,960,51,2.0,4.0,21,Subway,5.25,['Chicken'],N/A,84,117.0,16.0,217.0,-183.0,-0.4575
"Churro, Footlong",190.0,9.0,4.0,0.0,15.0,135,28,0.0,8.0,1,Subway,0.5263157894736842,['Other'],N/A,4,81.0,32.0,117.0,-73.0,-0.38421052631578945
Doritos Footlong Nachos,550.0,39.0,11.0,1.0,45.0,980,38,3.0,4.0,13,Subway,2.3636363636363638,['Other'],N/A,52,351.0,16.0,419.0,-131.0,-0.2381818181818182
Doritos Footlong Nachos with Chicken,590.0,41.0,11.0,1.0,70.0,1180,38,3.0,4.0,20,Subway,3.389830508474576,['Chicken'],N/A,80,369.0,16.0,465.0,-125.0,-0.211864406779661
Doritos Footlong Nachos with Sliced Avocado,590.0,43.0,11.0,1.0,45.0,980,40,5.0,4.0,13,Subway,2.2033898305084745,['Beverage'],N/A,52,387.0,16.0,455.0,-135.0,-0.2288135593220339
Doritos Footlong Nachos with Smashed Avocado,600.0,44.0,11.0,1.0,45.0,980,41,5.0,5.0,13,Subway,2.166666666666667,['Other'],N/A,52,396.0,20.0,468.0,-132.0,-0.22
Doritos Footlong Nachos with Steak,600.0,41.0,11.0,1.0,75.0,1200,39,3.0,5.0,21,Subway,3.5000000000000004,['Beverage'],N/A,84,369.0,20.0,473.0,-127.0,-0.21166666666666667
Double Cheese Dipper,470.0,21.0,10.0,1.0,50.0,1030,52,2.0,4.0,19,Subway,4.042553191489362,['Other'],N/A,76,189.0,16.0,281.0,-189.0,-0.4021276595744681
Footlong Pretzel,330.0,10.0,4.0,0.0,15.0,1340,53,7.0,9.0,10,Subway,3.0303030303030303,['Other'],N/A,40,90.0,36.0,166.0,-164.0,-0.49696969696969695
Hash Browns,190.0,9.0,3.0,0.0,0.0,600,24,3.0,1.0,3,Subway,1.5789473684210527,['Breakfast'],N/A,12,81.0,4.0,97.0,-93.0,-0.48947368421052634
Pepperoni & Cheese Dipper,470.0,22.0,9.0,0.0,50.0,1250,51,2.0,4.0,17,Subway,3.6170212765957444,['Other'],N/A,68,198.0,16.0,282.0,-188.0,-0.4
"Bacon, Egg & Cheese Biscuit",460.0,26.0,13.0,0.0,215.0,1330,39,2.0,3.0,17,Mcdonald'S,3.6956521739130435,['Breakfast'],N/A,68,234.0,12.0,314.0,-146.0,-0.3173913043478261
"Bacon, Egg & Cheese McGriddles",430.0,21.0,9.0,0.0,215.0,1230,44,2.0,15.0,17,Mcdonald'S,3.953488372093023,['Breakfast'],N/A,68,189.0,60.0,317.0,-113.0,-0.2627906976744186
Big Breakfast,760.0,48.0,18.0,0.0,485.0,1530,57,3.0,3.0,26,Mcdonald'S,3.421052631578948,['Other'],N/A,104,432.0,12.0,548.0,-212.0,-0.2789473684210526
Egg McMuffin,310.0,13.0,6.0,0.0,250.0,770,30,2.0,3.0,17,Mcdonald'S,5.483870967741936,['Breakfast'],N/A,68,117.0,12.0,197.0,-113.0,-0.36451612903225805
Fruit & Maple Oatmeal,320.0,4.5,1.5,0.0,,150,64,4.0,31.0,6,Mcdonald'S,1.875,['Other'],N/A,24,40.5,124.0,188.5,-131.5,-0.4109375
Hash Browns,140.0,8.0,1.0,0.0,0.0,310,18,2.0,0.0,2,Mcdonald'S,1.4285714285714286,['Breakfast'],N/A,8,72.0,0.0,80.0,-60.0,-0.42857142857142855
Hotcakes,580.0,15.0,6.0,0.0,40.0,530,101,2.0,45.0,9,Mcdonald'S,1.5517241379310345,['Other'],N/A,36,135.0,180.0,351.0,-229.0,-0.39482758620689656
Hotcakes and Sausage,770.0,33.0,12.0,0.0,75.0,810,102,2.0,46.0,15,Mcdonald'S,1.948051948051948,['Other'],N/A,60,297.0,184.0,541.0,-229.0,-0.2974025974025974
"Sausage, Egg & Cheese McGriddles",550.0,33.0,13.0,0.0,235.0,1290,44,2.0,15.0,19,Mcdonald'S,3.4545454545454546,['Breakfast'],N/A,76,297.0,60.0,433.0,-117.0,-0.21272727272727274
Sausage Biscuit,460.0,30.0,13.0,0.0,35.0,1090,37,2.0,2.0,11,Mcdonald'S,2.391304347826087,['Other'],N/A,44,270.0,8.0,322.0,-138.0,-0.3
Sausage Biscuit with Egg,530.0,35.0,15.0,0.0,225.0,1190,38,2.0,3.0,17,Mcdonald'S,3.207547169811321,['Breakfast'],N/A,68,315.0,12.0,395.0,-135.0,-0.25471698113207547
Sausage Burrito,310.0,17.0,7.0,0.0,170.0,800,25,1.0,2.0,13,Mcdonald'S,4.193548387096775,['Other'],N/A,52,153.0,8.0,213.0,-97.0,-0.31290322580645163
Sausage McGriddles,430.0,24.0,9.0,0.0,35.0,990,41,2.0,14.0,11,Mcdonald'S,2.558139534883721,['Other'],N/A,44,216.0,56.0,316.0,-114.0,-0.2651162790697674
Sausage McMuffin,400.0,26.0,10.0,0.5,55.0,760,29,2.0,2.0,14,Mcdonald'S,3.5000000000000004,['Other'],N/A,56,234.0,8.0,298.0,-102.0,-0.255
Sausage McMuffin with Egg,480.0,31.0,12.0,0.5,280.0,830,30,2.0,2.0,20,Mcdonald'S,4.166666666666666,['Breakfast'],N/A,80,279.0,8.0,367.0,-113.0,-0.23541666666666666
Big Mac,590.0,34.0,11.0,1.0,85.0,1050,46,3.0,9.0,25,Mcdonald'S,4.23728813559322,['Other'],N/A,100,306.0,36.0,442.0,-148.0,-0.25084745762711863
Cheeseburger,300.0,13.0,6.0,0.5,40.0,720,32,2.0,7.0,15,Mcdonald'S,5.0,['Burger'],N/A,60,117.0,28.0,205.0,-95.0,-0.31666666666666665
Double Cheeseburger,450.0,24.0,11.0,1.5,85.0,1120,34,2.0,7.0,25,Mcdonald'S,5.555555555555555,['Burger'],N/A,100,216.0,28.0,344.0,-106.0,-0.23555555555555555
Double Quarter Pounder with Cheese,740.0,42.0,20.0,2.5,165.0,1360,43,2.0,10.0,48,Mcdonald'S,6.486486486486487,['Other'],N/A,192,378.0,40.0,610.0,-130.0,-0.17567567567567569
Hamburger,250.0,9.0,3.5,0.0,30.0,510,31,1.0,6.0,12,Mcdonald'S,4.8,['Burger'],N/A,48,81.0,24.0,153.0,-97.0,-0.388
McDouble,400.0,20.0,9.0,1.0,70.0,920,33,2.0,7.0,22,Mcdonald'S,5.5,['Other'],N/A,88,180.0,28.0,296.0,-104.0,-0.26
Quarter Pounder with Cheese,520.0,26.0,12.0,1.5,95.0,1140,42,2.0,10.0,30,Mcdonald'S,5.769230769230769,['Other'],N/A,120,234.0,40.0,394.0,-126.0,-0.2423076923076923
Quarter Pounder with Cheese Bacon,630.0,35.0,15.0,1.5,115.0,1470,43,3.0,10.0,36,Mcdonald'S,5.714285714285714,['Breakfast'],N/A,144,315.0,40.0,499.0,-131.0,-0.20793650793650795
Quarter Pounder with Cheese Deluxe,630.0,37.0,14.0,1.5,105.0,1210,44,3.0,11.0,30,Mcdonald'S,4.761904761904762,['Other'],N/A,120,333.0,44.0,497.0,-133.0,-0.2111111111111111
Deluxe McCrispy,530.0,26.0,4.0,0.0,65.0,1050,48,2.0,10.0,27,Mcdonald'S,5.09433962264151,['Other'],N/A,108,234.0,40.0,382.0,-148.0,-0.2792452830188679
Filet-O-Fish,390.0,19.0,4.0,0.0,30.0,580,39,2.0,5.0,16,Mcdonald'S,4.102564102564102,['Chicken'],N/A,64,171.0,20.0,255.0,-135.0,-0.34615384615384615
McChicken,400.0,21.0,3.5,0.0,40.0,560,39,1.0,5.0,14,Mcdonald'S,3.5000000000000004,['Chicken'],N/A,56,189.0,20.0,265.0,-135.0,-0.3375
McCrispy,470.0,20.0,5.0,0.0,70.0,1140,46,1.0,9.0,26,Mcdonald'S,5.531914893617021,['Other'],N/A,104,180.0,36.0,320.0,-150.0,-0.3191489361702128
Spicy Deluxe McCrispy,530.0,26.0,4.0,0.0,65.0,1200,49,2.0,10.0,27,Mcdonald'S,5.09433962264151,['Chicken'],N/A,108,234.0,40.0,382.0,-148.0,-0.2792452830188679
Spicy McCrispy,530.0,26.0,4.0,0.0,65.0,1320,48,2.0,9.0,27,Mcdonald'S,5.09433962264151,['Chicken'],N/A,108,234.0,36.0,378.0,-152.0,-0.28679245283018867
"Chicken McNuggets, 4 Piece",170.0,10.0,1.5,0.0,25.0,330,10,0.0,0.0,9,Mcdonald'S,5.294117647058823,['Chicken'],N/A,36,90.0,0.0,126.0,-44.0,-0.25882352941176473
"Chicken McNuggets, 6 Piece",250.0,15.0,2.5,0.0,40.0,500,15,1.0,0.0,14,Mcdonald'S,5.6000000000000005,"['Chicken', 'Combo']",N/A,56,135.0,0.0,191.0,-59.0,-0.236
"Chicken McNuggets, 10 Piece",410.0,24.0,4.0,0.0,65.0,850,26,1.0,0.0,23,Mcdonald'S,5.609756097560976,"['Chicken', 'Combo']",N/A,92,216.0,0.0,308.0,-102.0,-0.24878048780487805
"Chicken McNuggets, 20 Piece",830.0,49.0,8.0,0.0,130.0,1670,51,2.0,0.0,46,Mcdonald'S,5.542168674698795,"['Chicken', 'Combo']",N/A,184,441.0,0.0,625.0,-205.0,-0.2469879518072289
Apple Slices,15.0,0.0,0.0,0.0,0.0,0,4,0.0,3.0,0,Mcdonald'S,0.0,['Other'],N/A,0,0.0,12.0,12.0,-3.0,-0.2
Creamy Ranch Sauce,110.0,12.0,2.0,0.0,,160,1,0.0,1.0,0,Mcdonald'S,0.0,['Side'],N/A,0,108.0,4.0,112.0,2.0,0.01818181818181818
Honey,50.0,0.0,0.0,0.0,0.0,0,12,0.0,11.0,0,Mcdonald'S,0.0,['Other'],N/A,0,0.0,44.0,44.0,-6.0,-0.12
Honey Mustard Sauce,60.0,3.5,0.5,0.0,,125,6,1.0,4.0,0,Mcdonald'S,0.0,['Side'],N/A,0,31.5,16.0,47.5,-12.5,-0.20833333333333334
Ketchup Packet,10.0,0.0,0.0,0.0,0.0,90,2,0.0,2.0,0,Mcdonald'S,0.0,['Other'],N/A,0,0.0,8.0,8.0,-2.0,-0.2
Mayonnaise Packet,90.0,10.0,1.5,0.0,10.0,60,0,0.0,0.0,0,Mcdonald'S,0.0,['Other'],N/A,0,90.0,0.0,90.0,0.0,0.0
Savory Chili WcDonald's Sauce (Limited Time),50.0,0.0,0.0,0.0,0.0,260,11,0.0,9.0,0,Mcdonald'S,0.0,['Side'],N/A,0,0.0,36.0,36.0,-14.0,-0.28
Spicy Buffalo Sauce,30.0,3.0,0.0,0.0,0.0,520,1,0.0,0.0,0,Mcdonald'S,0.0,"['Chicken', 'Side']",N/A,0,27.0,0.0,27.0,-3.0,-0.1
Sweet 'N Sour Sauce,50.0,0.0,0.0,0.0,0.0,160,11,0.0,10.0,0,Mcdonald'S,0.0,"['Beverage', 'Side']",N/A,0,0.0,40.0,40.0,-10.0,-0.2
Tangy BBQ Sauce,45.0,0.0,0.0,0.0,0.0,260,11,0.0,9.0,0,Mcdonald'S,0.0,['Side'],N/A,0,0.0,36.0,36.0,-9.0,-0.2
"World Famous Fries, Kids",110.0,5.0,0.5,0.0,0.0,90,15,1.0,0.0,2,Mcdonald'S,1.8181818181818181,['Side'],N/A,8,45.0,0.0,53.0,-57.0,-0.5181818181818182
"World Famous Fries, Large",480.0,23.0,3.0,0.0,0.0,400,65,6.0,0.0,7,Mcdonald'S,1.4583333333333333,['Side'],Large,28,207.0,0.0,235.0,-245.0,-0.5104166666666666
"World Famous Fries, Medium",320.0,15.0,2.0,0.0,0.0,260,43,4.0,0.0,5,Mcdonald'S,1.5625,['Side'],Medium,20,135.0,0.0,155.0,-165.0,-0.515625
"World Famous Fries, Small",230.0,11.0,1.5,0.0,0.0,190,31,3.0,0.0,3,Mcdonald'S,1.3043478260869565,['Side'],Small,12,99.0,0.0,111.0,-119.0,-0.5173913043478261
4 Piece Chicken McNuggets Happy Meal,400.0,17.0,3.5,0.0,35.0,500,41,1.0,14.0,19,Mcdonald'S,4.75,['Chicken'],N/A,76,153.0,56.0,285.0,-115.0,-0.2875
6 Piece Chicken McNuggets Happy Meal,480.0,22.0,4.5,0.0,50.0,670,46,2.0,14.0,24,Mcdonald'S,5.0,"['Chicken', 'Combo']",N/A,96,198.0,56.0,350.0,-130.0,-0.2708333333333333
Hamburger Happy Meal,480.0,16.0,6.0,0.0,40.0,680,62,2.0,20.0,22,Mcdonald'S,4.583333333333333,['Burger'],N/A,88,144.0,80.0,312.0,-168.0,-0.35
"Americano, Large",5.0,0.0,0.0,0.0,0.0,15,1,0.0,0.0,0,Mcdonald'S,0.0,['Other'],Large,0,0.0,0.0,0.0,-5.0,-1.0
"Cappuccino, Large",210.0,10.0,6.0,0.0,40.0,130,18,0.0,14.0,11,Mcdonald'S,5.238095238095238,['Other'],Large,44,90.0,56.0,190.0,-20.0,-0.09523809523809523
"Cappuccino, Medium",160.0,7.0,4.5,0.0,30.0,100,14,0.0,11.0,9,Mcdonald'S,5.625,['Other'],Medium,36,63.0,44.0,143.0,-17.0,-0.10625
"Cappuccino, Small",110.0,5.0,3.5,0.0,20.0,75,10,0.0,8.0,6,Mcdonald'S,5.454545454545454,['Other'],Small,24,45.0,32.0,101.0,-9.0,-0.08181818181818182
"Caramel Cappuccino, Large",340.0,8.0,5.0,0.0,35.0,460,55,0.0,49.0,11,Mcdonald'S,3.2352941176470593,['Other'],Large,44,72.0,196.0,312.0,-28.0,-0.08235294117647059
"Caramel Cappuccino, Medium",260.0,6.0,3.5,0.0,25.0,370,44,0.0,39.0,8,Mcdonald'S,3.076923076923077,['Other'],Medium,32,54.0,156.0,242.0,-18.0,-0.06923076923076923
"Caramel Cappuccino, Small",210.0,4.5,3.0,0.0,20.0,290,35,0.0,31.0,7,Mcdonald'S,3.3333333333333335,['Other'],Small,28,40.5,124.0,192.5,-17.5,-0.08333333333333333
"Caramel Frappe, Medium",490.0,20.0,13.0,1.0,60.0,90,70,1.0,62.0,8,Mcdonald'S,1.6326530612244898,['Other'],Medium,32,180.0,248.0,460.0,-30.0,-0.061224489795918366
"Caramel Frappe, Small",420.0,17.0,11.0,0.5,55.0,80,60,1.0,53.0,7,Mcdonald'S,1.6666666666666667,['Other'],Small,28,153.0,212.0,393.0,-27.0,-0.06428571428571428
"Caramel Latte, Large",390.0,11.0,6.0,0.0,45.0,490,60,0.0,53.0,14,Mcdonald'S,3.5897435897435894,['Other'],Large,56,99.0,212.0,367.0,-23.0,-0.05897435897435897
"Caramel Latte, Medium",320.0,8.0,5.0,0.0,35.0,410,50,0.0,43.0,11,Mcdonald'S,3.4375000000000004,['Other'],Medium,44,72.0,172.0,288.0,-32.0,-0.1
"Caramel Latte, Small",250.0,7.0,4.0,0.0,25.0,320,39,0.0,34.0,9,Mcdonald'S,3.5999999999999996,['Other'],Small,36,63.0,136.0,235.0,-15.0,-0.06
"Caramel Macchiato, Large",400.0,10.0,6.0,0.0,40.0,490,60,0.0,53.0,14,Mcdonald'S,3.5000000000000004,['Other'],Large,56,90.0,212.0,358.0,-42.0,-0.105
"Caramel Macchiato, Medium",320.0,8.0,5.0,0.0,30.0,400,51,0.0,44.0,11,Mcdonald'S,3.4375000000000004,['Other'],Medium,44,72.0,176.0,292.0,-28.0,-0.0875
"Caramel Macchiato, Small",260.0,6.0,4.0,0.0,25.0,320,41,0.0,35.0,9,Mcdonald'S,3.4615384615384617,['Other'],Small,36,54.0,140.0,230.0,-30.0,-0.11538461538461539
"French Vanilla Cappuccino, Large",340.0,8.0,5.0,0.0,30.0,115,58,0.0,43.0,9,Mcdonald'S,2.6470588235294117,['Other'],Large,36,72.0,172.0,280.0,-60.0,-0.17647058823529413
"French Vanilla Cappuccino, Medium",260.0,6.0,3.5,0.0,25.0,80,47,0.0,34.0,7,Mcdonald'S,2.6923076923076925,['Other'],Medium,28,54.0,136.0,218.0,-42.0,-0.16153846153846155
"French Vanilla Cappuccino, Small",210.0,4.5,3.0,0.0,20.0,65,37,0.0,28.0,5,Mcdonald'S,2.380952380952381,['Other'],Small,20,40.5,112.0,172.5,-37.5,-0.17857142857142858
"French Vanilla Latte, Large",390.0,11.0,6.0,0.0,40.0,150,60,0.0,45.0,12,Mcdonald'S,3.076923076923077,['Other'],Large,48,99.0,180.0,327.0,-63.0,-0.16153846153846155
"French Vanilla Latte, Medium",310.0,8.0,5.0,0.0,35.0,115,50,0.0,37.0,10,Mcdonald'S,3.225806451612903,['Other'],Medium,40,72.0,148.0,260.0,-50.0,-0.16129032258064516
"French Vanilla Latte, Small",250.0,6.0,4.0,0.0,25.0,90,39,0.0,29.0,8,Mcdonald'S,3.2,['Other'],Small,32,54.0,116.0,202.0,-48.0,-0.192
"Iced Caramel Coffee, Large",270.0,9.0,6.0,0.0,35.0,440,46,0.0,39.0,5,Mcdonald'S,1.8518518518518516,['Beverage'],Large,20,81.0,156.0,257.0,-13.0,-0.04814814814814815
"Iced Caramel Coffee, Medium",190.0,7.0,4.5,0.0,25.0,300,31,0.0,26.0,4,Mcdonald'S,2.1052631578947367,['Beverage'],Medium,16,63.0,104.0,183.0,-7.0,-0.03684210526315789
"Iced Caramel Coffee, Small",140.0,5.0,3.5,0.0,20.0,220,23,0.0,20.0,3,Mcdonald'S,2.142857142857143,['Beverage'],Small,12,45.0,80.0,137.0,-3.0,-0.02142857142857143
"Iced Caramel Latte, Large",330.0,8.0,4.5,0.0,30.0,460,55,0.0,48.0,11,Mcdonald'S,3.3333333333333335,['Beverage'],Large,44,72.0,192.0,308.0,-22.0,-0.06666666666666667
"Iced Caramel Latte, Medium",220.0,5.0,3.0,0.0,20.0,300,36,0.0,32.0,7,Mcdonald'S,3.1818181818181817,['Beverage'],Medium,28,45.0,128.0,201.0,-19.0,-0.08636363636363636
"Iced Caramel Latte, Small",180.0,4.5,2.5,0.0,20.0,240,29,0.0,25.0,6,Mcdonald'S,3.3333333333333335,['Beverage'],Small,24,40.5,100.0,164.5,-15.5,-0.08611111111111111
"Iced Caramel Macchiato, Large",360.0,9.0,5.0,0.0,35.0,480,59,0.0,51.0,12,Mcdonald'S,3.3333333333333335,['Beverage'],Large,48,81.0,204.0,333.0,-27.0,-0.075
"Iced Caramel Macchiato, Medium",240.0,6.0,3.5,0.0,25.0,320,41,0.0,35.0,8,Mcdonald'S,3.3333333333333335,['Beverage'],Medium,32,54.0,140.0,226.0,-14.0,-0.058333333333333334
"Iced Caramel Macchiato, Small",200.0,5.0,3.0,0.0,20.0,250,33,0.0,28.0,7,Mcdonald'S,3.5000000000000004,['Beverage'],Small,28,45.0,112.0,185.0,-15.0,-0.075
"Iced Coffee, Large",260.0,9.0,6.0,0.0,35.0,90,45,0.0,42.0,3,Mcdonald'S,1.153846153846154,['Beverage'],Large,12,81.0,168.0,261.0,1.0,0.0038461538461538464
"Iced Coffee, Medium",190.0,6.0,4.0,0.0,20.0,50,32,0.0,25.0,2,Mcdonald'S,1.0526315789473684,['Beverage'],Medium,8,54.0,100.0,162.0,-28.0,-0.14736842105263157
"Iced Coffee, Small",140.0,5.0,3.5,0.0,20.0,50,24,0.0,22.0,2,Mcdonald'S,1.4285714285714286,['Beverage'],Small,8,45.0,88.0,141.0,1.0,0.007142857142857143
"Iced French Vanilla Coffee, Large",280.0,8.0,5.0,0.0,30.0,65,49,0.0,33.0,2,Mcdonald'S,0.7142857142857143,['Beverage'],Large,8,72.0,132.0,212.0,-68.0,-0.24285714285714285
"Iced French Vanilla Coffee, Medium",200.0,6.0,4.0,0.0,20.0,50,33,0.0,22.0,2,Mcdonald'S,1.0,['Beverage'],Medium,8,54.0,88.0,150.0,-50.0,-0.25
"Iced French Vanilla Coffee, Small",150.0,5.0,3.0,0.0,15.0,35,25,0.0,17.0,1,Mcdonald'S,0.6666666666666667,['Beverage'],Small,4,45.0,68.0,117.0,-33.0,-0.22
"Iced French Vanilla Latte, Large",330.0,8.0,4.5,0.0,30.0,115,57,0.0,42.0,9,Mcdonald'S,2.727272727272727,['Beverage'],Large,36,72.0,168.0,276.0,-54.0,-0.16363636363636364
"Iced French Vanilla Latte, Medium",220.0,5.0,3.0,0.0,20.0,75,38,0.0,28.0,6,Mcdonald'S,2.727272727272727,['Beverage'],Medium,24,45.0,112.0,181.0,-39.0,-0.17727272727272728
"Iced French Vanilla Latte, Small",180.0,4.5,2.5,0.0,20.0,65,30,0.0,22.0,5,Mcdonald'S,2.7777777777777777,['Beverage'],Small,20,40.5,88.0,148.5,-31.5,-0.175
"Iced Latte, Large",170.0,8.0,5.0,0.0,30.0,115,15,0.0,12.0,9,Mcdonald'S,5.294117647058823,['Beverage'],Large,36,72.0,48.0,156.0,-14.0,-0.08235294117647059
