Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g)
"Hi-C Fruit Punch, Medium",380,0,0,0,0,80,95,0,94,0
"Hi-C Fruit Punch, Small",250,0,0,0,0,55,63,0,63,0
"Hi-C Fruit Punch, Value",200,0,0,0,0,40,49,0,49,0
"Hi-C Pink Lemonade, Large",430,0,0,0,0,310,112,0,112,0
"Hi-C Pink Lemonade, Medium",330,0,0,0,0,240,87,0,86,0
"Hi-C Pink Lemonade, Small",220,0,0,0,0,160,58,0,58,0
"Hi-C Pink Lemonade, Value",170,0,0,0,0,125,45,0,45,0
Honest Kids Apple Juice Drink,35,0,0,0,0,10,9,0,8,0
"Mello Yello, Large",370,0,0,0,0,110,100,0,100,0
"Mello Yello, Medium",290,0,0,0,0,85,77,0,77,0
"Mello Yello, Small",190,0,0,0,0,55,52,0,51,0
"Mello Yello, Value",170,0,0,0,0,50,46,0,46,0
"Minute Maid Lemonade, Large",380,0,0,0,0,95,101,0,101,0
"Minute Maid Lemonade, Medium",260,0,0,0,0,60,67,0,67,0
"Minute Maid Lemonade, Small",200,0,0,0,0,50,54,0,54,0
"Mocha Iced Coffee, Large",300,13,7,0,40,70,45,2,41,3
"Mocha Iced Coffee, Medium",240,10,6,0,30,55,35,1,32,2
"Mocha Iced Coffee Small, Small",180,8,4,0,25,40,27,1,25,2
"Plain Iced Coffee, Large",250,13,7,0,40,50,34,0,34,2
"Plain Iced Coffee, Medium",200,10,5,0,30,40,27,0,27,2
"Plain Iced Coffee Small, Small",150,8,4,0,25,30,21,0,21,1
"Powerade Zero, Large",20,0,0,0,0,330,3,0,0,0
"Powerade Zero, Medium",15,0,0,0,0,260,2,0,0,0
"Powerade Zero, Small",10,0,0,0,0,170,1,0,0,0
"Powerade Zero, Value",5,0,0,0,0,135,1,0,0,0
Simply Orange Juice,160,0,0,0,0,0,37,0,33,2
"Sprite, Large",400,0,0,0,0,105,106,0,106,0
"Sprite, Medium",310,0,0,0,0,80,82,0,82,0
"Sprite, Small",210,0,0,0,0,55,55,0,55,0
"Sprite, Value",160,0,0,0,0,45,42,0,42,0
"Sprite Zero, Large",15,0,0,0,0,115,1,0,0,0
"Sprite Zero, Medium",10,0,0,0,0,85,1,0,0,0
"Sprite Zero, Small",10,0,0,0,0,60,55,0,55,0
"Sprite Zero, Value",5,0,0,0,0,45,1,0,0,0
"Sweetened Iced Tea, Large",240,0,0,0,0,0,71,0,71,0
"Sweetened Iced Tea, Medium",160,0,0,0,0,0,49,0,49,0
"Sweetened Iced Tea, Small",120,0,0,0,0,0,35,0,35,0
"Sweetened Iced Tea, Value",90,0,0,0,0,0,25,0,25,0
"Vanilla Iced Coffee, Large",260,13,7,0,40,50,34,0,34,2
"Vanilla Iced Coffee, Medium",200,10,5,0,30,40,27,0,27,2
"Vanilla Iced Coffee, Small",150,8,4,0,25,30,21,0,21,1
"Cheesy Tots, 4 Piece",150,6,2,0,<5,510,20,1,0,4
"Cheesy Tots, 8 Piecce",300,12,3.5,0,10,1010,39,2,0,7
"French Fries, Large",440,19,3,0,0,320,64,5,1,5
"French Fries, Medium",370,16,2,0,0,270,54,4,1,5
"French Fries, Small",300,13,2,0,0,220,43,3,1,4
"French Fries, Value",230,10,1,0,0,170,33,2,1,3
"Have-sies, Large",510,22,3.5,0,0,910,71,6,4,6
"Have-sies, Medium",380,17,2.5,0,0,690,54,5,3,5
"Have-sies, Small",320,14,2,0,0,580,45,4,3,4
"Have-sies, Value",220,10,1.5,0,0,400,31,3,2,3
"Jalapeno Cheddar Bites, 4 Piece",170,9,3.5,0,15,450,18,1,1,5
"Jalapeno Cheddar Bites, 8 Piece",340,18,7,0,25,910,36,3,2,10
Mott's Applesauce,50,0,0,0,0,0,13,1,11,0
"Mozzarella Fries, 4 Piece",240,12,4,0,20,790,24,1,2,10
"Mozzarella Fries, 8 Piece",510,25,8,1,40,2010,55,3,8,23
"Mozzarella Fries, 12 Piece",730,36,13,1,60,2350,71,3,5,29
"Onion Rings, Large",520,24,4,0,0,950,70,7,7,7
"Onion Rings, Medium",360,16,2.5,0,0,640,48,5,5,4
"Onion Rings, Small",280,13,2,0,0,510,37,4,4,4
"Onion Rings, Value",200,9,1.5,0,0,370,27,3,3,3
Chocolate Chip Cookies,160,8,4,0,10,110,23,<1,14,2
Chocolate Oreo Shake,670,17,10,0.5,55,470,116,2,91,13
Chocolate Shake,590,14,9,0.5,55,420,103,1,84,13
"Churro Fries, 4 Piece",190,7,3,0,10,150,31,0,13,2
"Churro Fries, 8 Piece",300,14,5,0,20,280,43,1,13,3
"Churro Fries, 12 Piece",490,20,8,0,30,430,75,1,26,4
Classic Oreo Shake,640,17,10,0.5,55,460,109,1,86,13
Hershey's Sundae Pie,310,18,12,0,10,230,32,1,22,3
Soft Serve Cone,200,5,3.5,0,20,150,33,0,22,5
Soft Serve Cup,180,5,3.5,0,20,150,28,0,22,4
Strawberry Shake,610,14,9,0,55,420,110,1,92,12
Vanilla Shake,560,14,9,0.5,55,400,96,0,79,12
