Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Chain,category,Protein per 100 Cal
Hash Brown Scramble Burrito with Spicy Chicken,660.0,37.0,11.0,0.5,250.0,1750,54,3.0,2.0,28,Chick-Fil-A,Chicken,4.242424242424243
"Hash Brown Scramble Burrito with Spicy Chicken, No Hash Browns",510.0,27.0,10.0,0.5,250.0,1510,41,2.0,2.0,27,Chick-Fil-A,Chicken,5.294117647058823
"Mini Yeast Rolls, 4 ct",240.0,8.0,2.5,0.0,20.0,450,36,2.0,7.0,6,Chick-Fil-A,Other,2.5
"Sausage, Egg & Cheese Biscuit",620.0,42.0,18.0,0.0,205.0,1510,38,2.0,4.0,22,Chick-Fil-A,Other,3.5483870967741935
"Sausage, Egg & Cheese Muffin",490.0,32.0,13.0,0.0,205.0,1000,29,1.0,1.0,23,Chick-Fil-A,Other,4.6938775510204085
Spicy Chicken Biscuit,450.0,22.0,8.0,0.0,40.0,1570,44,2.0,5.0,19,Chick-Fil-A,Chicken,4.222222222222222
"Chick-fil-A Chick-n-Strips, 2 ct",200.0,9.0,2.0,0.0,50.0,580,11,0.0,1.0,19,Chick-Fil-A,Other,9.5
"Chick-fil-A Chick-n-Strips, 3 ct",310.0,14.0,2.5,0.0,75.0,870,16,0.0,2.0,29,Chick-Fil-A,Other,9.35483870967742
"Chick-fil-A Chick-n-Strips, 4 ct",410.0,19.0,3.5,0.0,100.0,1150,22,0.0,2.0,39,Chick-Fil-A,Other,9.512195121951219
Chick-fil-A Cool Wrap,660.0,45.0,9.0,0.0,110.0,1420,32,14.0,5.0,43,Chick-Fil-A,Wrap,6.515151515151516
Chick-fil-A Chicken Sandwich,420.0,18.0,3.5,0.0,70.0,1460,41,1.0,6.0,29,Chick-Fil-A,Chicken,6.904761904761905
Chick-fil-A Deluxe Sandwich with American,490.0,22.0,6.0,0.0,85.0,1700,43,1.0,7.0,32,Chick-Fil-A,Sandwich,6.530612244897959
Chick-fil-A Deluxe Sandwich with Colby Jack,510.0,24.0,8.0,0.0,90.0,1610,43,1.0,7.0,34,Chick-Fil-A,Sandwich,6.666666666666667
