Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Chain,category,Protein per 100 Cal
"Hi-C Pink Lemonade, Medium",330.0,0.0,0.0,0.0,0.0,240,87,0.0,86.0,0,Burger King,Other,0.0
"Hi-C Pink Lemonade, Small",220.0,0.0,0.0,0.0,0.0,160,58,0.0,58.0,0,Burger King,Other,0.0
"Hi-C Pink Lemonade, Value",170.0,0.0,0.0,0.0,0.0,125,45,0.0,45.0,0,Burger King,Other,0.0
Honest Kids Apple Juice Drink,35.0,0.0,0.0,0.0,0.0,10,9,0.0,8.0,0,Burger King,Drink,0.0
"Mello Yello, Large",370.0,0.0,0.0,0.0,0.0,110,100,0.0,100.0,0,Burger King,Other,0.0
"Mello Yello, Medium",290.0,0.0,0.0,0.0,0.0,85,77,0.0,77.0,0,Burger King,Other,0.0
"Mello Yello, Small",190.0,0.0,0.0,0.0,0.0,55,52,0.0,51.0,0,Burger King,Other,0.0
"Mello Yello, Value",170.0,0.0,0.0,0.0,0.0,50,46,0.0,46.0,0,Burger King,Other,0.0
"Minute Maid Lemonade, Large",380.0,0.0,0.0,0.0,0.0,95,101,0.0,101.0,0,Burger King,Other,0.0
"Minute Maid Lemonade, Medium",260.0,0.0,0.0,0.0,0.0,60,67,0.0,67.0,0,Burger King,Other,0.0
"Minute Maid Lemonade, Small",200.0,0.0,0.0,0.0,0.0,50,54,0.0,54.0,0,Burger King,Other,0.0
"Mocha Iced Coffee, Large",300.0,13.0,7.0,0.0,40.0,70,45,2.0,41.0,3,Burger King,Other,1.0
"Mocha Iced Coffee, Medium",240.0,10.0,6.0,0.0,30.0,55,35,1.0,32.0,2,Burger King,Other,0.8333333333333334
"Mocha Iced Coffee Small, Small",180.0,8.0,4.0,0.0,25.0,40,27,1.0,25.0,2,Burger King,Other,1.1111111111111112
"Plain Iced Coffee, Large",250.0,13.0,7.0,0.0,40.0,50,34,0.0,34.0,2,Burger King,Other,0.8
"Plain Iced Coffee, Medium",200.0,10.0,5.0,0.0,30.0,40,27,0.0,27.0,2,Burger King,Other,1.0
"Plain Iced Coffee Small, Small",150.0,8.0,4.0,0.0,25.0,30,21,0.0,21.0,1,Burger King,Other,0.6666666666666667
"Powerade Zero, Large",20.0,0.0,0.0,0.0,0.0,330,3,0.0,0.0,0,Burger King,Other,0.0
"Powerade Zero, Medium",15.0,0.0,0.0,0.0,0.0,260,2,0.0,0.0,0,Burger King,Other,0.0
"Powerade Zero, Small",10.0,0.0,0.0,0.0,0.0,170,1,0.0,0.0,0,Burger King,Other,0.0
"Powerade Zero, Value",5.0,0.0,0.0,0.0,0.0,135,1,0.0,0.0,0,Burger King,Other,0.0
Simply Orange Juice,160.0,0.0,0.0,0.0,0.0,0,37,0.0,33.0,2,Burger King,Other,1.25
"Sprite, Large",400.0,0.0,0.0,0.0,0.0,105,106,0.0,106.0,0,Burger King,Other,0.0
"Sprite, Medium",310.0,0.0,0.0,0.0,0.0,80,82,0.0,82.0,0,Burger King,Other,0.0
"Sprite, Small",210.0,0.0,0.0,0.0,0.0,55,55,0.0,55.0,0,Burger King,Other,0.0
"Sprite, Value",160.0,0.0,0.0,0.0,0.0,45,42,0.0,42.0,0,Burger King,Other,0.0
"Sprite Zero, Large",15.0,0.0,0.0,0.0,0.0,115,1,0.0,0.0,0,Burger King,Other,0.0
"Sprite Zero, Medium",10.0,0.0,0.0,0.0,0.0,85,1,0.0,0.0,0,Burger King,Other,0.0
"Sprite Zero, Small",10.0,0.0,0.0,0.0,0.0,60,55,0.0,55.0,0,Burger King,Other,0.0
"Sprite Zero, Value",5.0,0.0,0.0,0.0,0.0,45,1,0.0,0.0,0,Burger King,Other,0.0
"Sweetened Iced Tea, Large",240.0,0.0,0.0,0.0,0.0,0,71,0.0,71.0,0,Burger King,Other,0.0
"Sweetened Iced Tea, Medium",160.0,0.0,0.0,0.0,0.0,0,49,0.0,49.0,0,Burger King,Other,0.0
"Sweetened Iced Tea, Small",120.0,0.0,0.0,0.0,0.0,0,35,0.0,35.0,0,Burger King,Other,0.0
"Sweetened Iced Tea, Value",90.0,0.0,0.0,0.0,0.0,0,25,0.0,25.0,0,Burger King,Other,0.0
"Vanilla Iced Coffee, Large",260.0,13.0,7.0,0.0,40.0,50,34,0.0,34.0,2,Burger King,Other,0.7692307692307693
"Vanilla Iced Coffee, Medium",200.0,10.0,5.0,0.0,30.0,40,27,0.0,27.0,2,Burger King,Other,1.0
"Vanilla Iced Coffee, Small",150.0,8.0,4.0,0.0,25.0,30,21,0.0,21.0,1,Burger King,Other,0.6666666666666667
"Cheesy Tots, 4 Piece",150.0,6.0,2.0,0.0,,510,20,1.0,0.0,4,Burger King,Other,2.666666666666667
"Cheesy Tots, 8 Piecce",300.0,12.0,3.5,0.0,10.0,1010,39,2.0,0.0,7,Burger King,Other,2.3333333333333335
"French Fries, Large",440.0,19.0,3.0,0.0,0.0,320,64,5.0,1.0,5,Burger King,Side,1.1363636363636365
"French Fries, Medium",370.0,16.0,2.0,0.0,0.0,270,54,4.0,1.0,5,Burger King,Side,1.3513513513513513
"French Fries, Small",300.0,13.0,2.0,0.0,0.0,220,43,3.0,1.0,4,Burger King,Side,1.3333333333333335
"French Fries, Value",230.0,10.0,1.0,0.0,0.0,170,33,2.0,1.0,3,Burger King,Side,1.3043478260869565
"Have-sies, Large",510.0,22.0,3.5,0.0,0.0,910,71,6.0,4.0,6,Burger King,Other,1.1764705882352942
"Have-sies, Medium",380.0,17.0,2.5,0.0,0.0,690,54,5.0,3.0,5,Burger King,Other,1.3157894736842104
"Have-sies, Small",320.0,14.0,2.0,0.0,0.0,580,45,4.0,3.0,4,Burger King,Other,1.25
"Have-sies, Value",220.0,10.0,1.5,0.0,0.0,400,31,3.0,2.0,3,Burger King,Other,1.3636363636363635
"Jalapeno Cheddar Bites, 4 Piece",170.0,9.0,3.5,0.0,15.0,450,18,1.0,1.0,5,Burger King,Other,2.941176470588235
"Jalapeno Cheddar Bites, 8 Piece",340.0,18.0,7.0,0.0,25.0,910,36,3.0,2.0,10,Burger King,Other,2.941176470588235
Mott's Applesauce,50.0,0.0,0.0,0.0,0.0,0,13,1.0,11.0,0,Burger King,Other,0.0
"Mozzarella Fries, 4 Piece",240.0,12.0,4.0,0.0,20.0,790,24,1.0,2.0,10,Burger King,Side,4.166666666666666
"Mozzarella Fries, 8 Piece",510.0,25.0,8.0,1.0,40.0,2010,55,3.0,8.0,23,Burger King,Side,4.509803921568627
"Mozzarella Fries, 12 Piece",730.0,36.0,13.0,1.0,60.0,2350,71,3.0,5.0,29,Burger King,Side,3.9726027397260277
"Onion Rings, Large",520.0,24.0,4.0,0.0,0.0,950,70,7.0,7.0,7,Burger King,Other,1.3461538461538463
"Onion Rings, Medium",360.0,16.0,2.5,0.0,0.0,640,48,5.0,5.0,4,Burger King,Other,1.1111111111111112
"Onion Rings, Small",280.0,13.0,2.0,0.0,0.0,510,37,4.0,4.0,4,Burger King,Other,1.4285714285714286
"Onion Rings, Value",200.0,9.0,1.5,0.0,0.0,370,27,3.0,3.0,3,Burger King,Other,1.5
Chocolate Chip Cookies,160.0,8.0,4.0,0.0,10.0,110,23,,14.0,2,Burger King,Other,1.25
Chocolate Oreo Shake,670.0,17.0,10.0,0.5,55.0,470,116,2.0,91.0,13,Burger King,Other,1.9402985074626864
Chocolate Shake,590.0,14.0,9.0,0.5,55.0,420,103,1.0,84.0,13,Burger King,Other,2.2033898305084745
"Churro Fries, 4 Piece",190.0,7.0,3.0,0.0,10.0,150,31,0.0,13.0,2,Burger King,Side,1.0526315789473684
"Churro Fries, 8 Piece",300.0,14.0,5.0,0.0,20.0,280,43,1.0,13.0,3,Burger King,Side,1.0
"Churro Fries, 12 Piece",490.0,20.0,8.0,0.0,30.0,430,75,1.0,26.0,4,Burger King,Side,0.8163265306122449
Classic Oreo Shake,640.0,17.0,10.0,0.5,55.0,460,109,1.0,86.0,13,Burger King,Other,2.03125
Hershey's Sundae Pie,310.0,18.0,12.0,0.0,10.0,230,32,1.0,22.0,3,Burger King,Other,0.967741935483871
Soft Serve Cone,200.0,5.0,3.5,0.0,20.0,150,33,0.0,22.0,5,Burger King,Other,2.5
Soft Serve Cup,180.0,5.0,3.5,0.0,20.0,150,28,0.0,22.0,4,Burger King,Other,2.2222222222222223
Strawberry Shake,610.0,14.0,9.0,0.0,55.0,420,110,1.0,92.0,12,Burger King,Other,1.9672131147540985
Vanilla Shake,560.0,14.0,9.0,0.5,55.0,400,96,0.0,79.0,12,Burger King,Other,2.142857142857143
Apple Pie Poppers,80.0,5.0,1.5,0.0,0.0,55,9,1.0,3.0,1,Kfc,Other,1.25
Cherry Pie Poppers,70.0,4.5,0.0,0.0,0.0,40,7,0.0,2.0,1,Kfc,Other,1.4285714285714286
KFC Chicken Sandwich - Chipotle Ranch,670.0,38.0,5.0,0.0,90.0,1330,49,1.0,7.0,34,Kfc,Chicken,5.074626865671641
KFC Chicken Sandwich - Honey BBQ,600.0,26.0,3.0,0.0,80.0,1330,58,1.0,15.0,34,Kfc,Chicken,5.666666666666666
KFC Chicken Sandwich - Honey Garlic,610.0,26.0,3.0,0.0,80.0,1370,61,1.0,16.0,34,Kfc,Chicken,5.573770491803279
KFC Chicken Sandwich - Korean BBQ,620.0,27.0,3.0,0.0,80.0,1580,61,1.0,17.0,34,Kfc,Chicken,5.483870967741936
KFC Chicken Sandwich - Mango Habanero,590.0,26.0,3.0,0.0,80.0,1330,56,1.0,13.0,34,Kfc,Chicken,5.762711864406779
KFC Saucy Nuggets - Chipotle Ranch (1),50.0,4.0,0.5,0.0,15.0,160,1,0.0,0.0,4,Kfc,Other,8.0
KFC Saucy Nuggets - Honey BBQ (1),45.0,1.5,0.0,0.0,15.0,170,4,0.0,2.0,4,Kfc,Other,8.88888888888889
KFC Saucy Nuggets - Honey Garlic (1),40.0,1.5,0.0,0.0,15.0,160,3,0.0,1.0,4,Kfc,Other,10.0
KFC Saucy Nuggets - Korean BBQ (1),45.0,1.5,0.0,0.0,15.0,210,4,0.0,2.0,4,Kfc,Other,8.88888888888889
KFC Saucy Nuggets - Mango Habanero (1),40.0,1.5,0.0,0.0,15.0,170,3,0.0,1.0,4,Kfc,Other,10.0
Korean BBQ Loaded Fries Bowl,770.0,39.0,7.0,0.0,80.0,2640,76,8.0,23.0,27,Kfc,Side,3.506493506493506
Korean BBQ Mac & Cheese Bowl,530.0,23.0,6.0,0.0,85.0,2250,52,2.0,12.0,30,Kfc,Other,5.660377358490567
Mac & Cheese Bowl,480.0,22.0,6.0,0.0,85.0,1970,42,2.0,4.0,30,Kfc,Other,6.25
Nashville Hot Loaded Fries Bowl,910.0,60.0,11.0,0.0,80.0,2530,63,8.0,12.0,26,Kfc,Side,2.857142857142857
Nashville Hot Mac & Cheese Bowl,610.0,36.0,8.0,0.0,85.0,2180,44,3.0,5.0,30,Kfc,Other,4.918032786885246
Nashville Hot Mashed Potato Bowl,680.0,34.0,8.0,0.0,75.0,2230,66,5.0,3.0,29,Kfc,Other,4.264705882352941
Nashville Hot OR Tender (1),280.0,17.0,2.5,0.0,30.0,580,21,0.0,,11,Kfc,Other,3.9285714285714284
Original Recipe® Chicken Breast,390.0,21.0,4.0,0.0,120.0,1190,11,2.0,0.0,39,Kfc,Chicken,10.0
Original Recipe® Chicken Drumstick,130.0,8.0,1.5,0.0,55.0,430,4,1.0,0.0,12,Kfc,Chicken,9.230769230769232
Original Recipe® Chicken Thigh,280.0,19.0,4.5,0.0,100.0,910,8,1.0,0.0,19,Kfc,Chicken,6.785714285714286
Original Recipe® Chicken Whole Wing,130.0,8.0,2.0,0.0,55.0,380,3,0.0,0.0,10,Kfc,Chicken,7.6923076923076925
Extra Crispy™ Chicken Breast,530.0,35.0,6.0,0.0,105.0,1150,18,0.0,0.0,35,Kfc,Chicken,6.60377358490566
Extra Crispy™ Chicken Drumstick,170.0,12.0,2.0,0.0,50.0,390,5,0.0,0.0,10,Kfc,Chicken,5.88235294117647
Extra Crispy™ Chicken Thigh,330.0,23.0,4.5,0.0,100.0,700,9,0.0,0.0,22,Kfc,Chicken,6.666666666666667
Extra Crispy™ Chicken Whole Wing,170.0,13.0,2.0,0.0,45.0,340,5,0.0,0.0,10,Kfc,Chicken,5.88235294117647
Kentucky Grilled Chicken® Breast,210.0,7.0,2.0,0.0,130.0,710,0,0.0,0.0,38,Kfc,Chicken,18.095238095238095
Kentucky Grilled Chicken® Drumstick,80.0,4.0,1.0,0.0,55.0,220,0,0.0,0.0,11,Kfc,Chicken,13.750000000000002
Kentucky Grilled Chicken® Thigh,150.0,9.0,3.0,0.0,90.0,420,0,0.0,0.0,17,Kfc,Chicken,11.333333333333332
Kentucky Grilled Chicken® Whole Wing,70.0,3.0,1.0,0.0,45.0,180,0,0.0,0.0,9,Kfc,Chicken,12.857142857142856
Spicy Crispy Chicken Breast,350.0,20.0,3.5,0.0,100.0,1100,11,1.0,0.0,30,Kfc,Chicken,8.571428571428571
Spicy Crispy Chicken Drumstick,130.0,8.0,1.5,0.0,40.0,420,5,1.0,0.0,9,Kfc,Chicken,6.923076923076923
Spicy Crispy Chicken Thigh,270.0,20.0,3.5,0.0,65.0,720,10,1.0,0.0,13,Kfc,Chicken,4.814814814814815
Spicy Crispy Chicken Whole Wing,120.0,8.0,1.5,0.0,35.0,350,5,0.0,0.0,7,Kfc,Chicken,5.833333333333333
NEW! Original Recipe® Tender (each),170.0,6.0,0.5,0.0,30.0,400,20,0.0,0.0,11,Kfc,Other,6.470588235294119
Kentucky Fried Nuggets (1),35.0,1.5,0.0,0.0,15.0,140,1,0.0,0.0,3,Kfc,Other,8.571428571428571
BBQ Baked Beans,190.0,1.0,0.0,0.0,0.0,650,34,7.0,15.0,11,Kfc,Other,5.7894736842105265
Biscuit,180.0,8.0,4.5,0.0,0.0,520,22,1.0,1.0,4,Kfc,Other,2.2222222222222223
Coleslaw,170.0,12.0,2.0,0.0,,180,14,4.0,10.0,1,Kfc,Other,0.5882352941176471
Corn on the Cob,70.0,0.5,0.0,0.0,0.0,0,17,2.0,3.0,2,Kfc,Other,2.857142857142857
Green Beans,25.0,0.0,0.0,0.0,0.0,300,5,3.0,1.0,1,Kfc,Other,4.0
KFC® Cornbread Muffin,210.0,9.0,1.5,0.0,35.0,240,28,,11.0,3,Kfc,Other,1.4285714285714286
Macaroni & Cheese,140.0,6.0,1.5,0.0,,590,17,1.0,2.0,5,Kfc,Other,3.571428571428571
Mashed Potatoes,110.0,3.5,0.5,0.0,0.0,330,17,1.0,0.0,2,Kfc,Other,1.8181818181818181
Mashed Potatoes With Gravy,130.0,4.5,1.0,0.0,0.0,520,20,1.0,0.0,3,Kfc,Other,2.307692307692308
Secret Recipe Fries,320.0,15.0,2.0,0.0,0.0,1100,41,3.0,0.0,5,Kfc,Side,1.5625
Sweet Kernel Corn,70.0,0.5,0.0,0.0,0.0,0,16,2.0,2.0,2,Kfc,Other,2.857142857142857
BBQ Baked Beans (Family),830.0,5.0,1.0,0.0,0.0,2810,148,31.0,63.0,47,Kfc,Other,5.662650602409639
Coleslaw (Family),640.0,46.0,7.0,0.0,15.0,670,54,14.0,37.0,4,Kfc,Other,0.625
Corn on the Cob (Family),280.0,2.0,0.0,0.0,0.0,15,67,8.0,11.0,9,Kfc,Other,3.214285714285714
Green Beans (Family),80.0,0.0,0.0,0.0,0.0,930,15,9.0,3.0,4,Kfc,Other,5.0
Macaroni & Cheese (Family),540.0,23.0,6.0,0.0,10.0,2220,66,5.0,8.0,18,Kfc,Other,3.3333333333333335
Mashed Potatoes (Family),460.0,15.0,3.0,0.0,0.0,1410,72,6.0,0.0,9,Kfc,Other,1.956521739130435
Mashed Potatoes With Gravy (Family),590.0,21.0,5.0,0.0,0.0,2590,88,6.0,1.0,12,Kfc,Other,2.0338983050847457
Secret Recipe Fries (Family),840.0,40.0,5.0,0.0,0.0,2890,108,9.0,0.0,13,Kfc,Side,1.5476190476190477
Sweet Kernel Corn (Family),280.0,2.5,0.0,0.0,0.0,10,67,7.0,8.0,10,Kfc,Other,3.571428571428571
Chicken Littles,350.0,16.0,2.0,0.0,40.0,730,39,,3.0,15,Kfc,Chicken,4.285714285714286
Classic Chicken Sandwich,650.0,35.0,4.5,0.0,90.0,1260,49,1.0,6.0,34,Kfc,Chicken,5.230769230769231
Spicy Chicken Sandwich,620.0,33.0,4.0,0.0,85.0,2140,49,1.0,6.0,34,Kfc,Chicken,5.483870967741936
Twister®,680.0,31.0,7.0,0.0,80.0,1360,74,,3.0,29,Kfc,Other,4.264705882352941
Chicken Pot Pie,720.0,41.0,25.0,0.0,80.0,1750,60,7.0,5.0,26,Kfc,Chicken,3.6111111111111107
KFC® Famous Bowl,590.0,22.0,5.0,0.0,85.0,2160,67,4.0,3.0,31,Kfc,Other,5.2542372881355925
Caesar Side Salad,40.0,2.0,1.0,0.0,5.0,90,2,1.0,1.0,3,Kfc,Salad,7.5
House Side Salad,15.0,0.0,0.0,0.0,0.0,10,3,2.0,2.0,1,Kfc,Salad,6.666666666666667
Heinz Buttermilk Dressing,160.0,17.0,2.0,0.0,10.0,220,1,0.0,1.0,0,Kfc,Other,0.0
Hidden Valley The Original Ranch Fat Free Dressing,35.0,0.0,0.0,0.0,0.0,410,8,0.0,2.0,1,Kfc,Other,2.857142857142857
KFC® Creamy Parmesan Caesar Dressing,260.0,26.0,5.0,0.0,15.0,540,4,0.0,2.0,2,Kfc,Other,0.7692307692307693
Marzetti Light Italian Dressing,15.0,0.5,0.0,0.0,0.0,510,2,0.0,1.0,0,Kfc,Other,0.0
Parmesan Garlic Croutons,60.0,3.0,0.0,0.0,0.0,135,8,,,2,Kfc,Other,3.3333333333333335
Apple Turnover,230.0,10.0,2.5,0.0,0.0,140,32,,12.0,2,Kfc,Other,0.8695652173913043
Café Valley Chocolate Chip Cake (1 Slice),300.0,15.0,3.0,0.0,50.0,260,39,1.0,27.0,4,Kfc,Other,1.3333333333333335
Café Valley Lemon Cake (1 Slice),220.0,10.0,2.0,0.0,30.0,170,30,0.0,20.0,2,Kfc,Other,0.9090909090909091
Café Valley Mini Chocolate Chip Cake,300.0,12.0,2.5,0.0,40.0,190,49,1.0,35.0,3,Kfc,Other,1.0
Café Valley Mini Lemon Cake,300.0,13.0,2.5,0.0,50.0,230,43,0.0,31.0,3,Kfc,Other,1.0
BBQ - Dipping Sauce Cup,45.0,0.0,0.0,0.0,0.0,150,11,0.0,11.0,0,Kfc,Other,0.0
Buffalo Ranch - Dipping Sauce Cup,120.0,13.0,2.0,0.0,10.0,290,2,0.0,1.0,1,Kfc,Other,0.8333333333333334
Colonel's Buttery Spread,35.0,4.0,1.5,0.0,0.0,35,0,0.0,0.0,0,Kfc,Other,0.0
Grape Jelly Packet,35.0,0.0,0.0,0.0,0.0,10,9,0.0,7.0,0,Kfc,Other,0.0
Honey Mustard - Dipping Sauce Cup,110.0,9.0,1.5,0.0,,120,6,0.0,6.0,0,Kfc,Other,0.0
Honey Sauce Packet,30.0,0.0,0.0,0.0,0.0,0,8,0.0,5.0,0,Kfc,Other,0.0
Ketchup,30.0,0.0,0.0,0.0,0.0,250,8,0.0,6.0,0,Kfc,Other,0.0
KFC Sauce - Dipping Sauce Cup,90.0,8.0,1.5,0.0,10.0,170,5,0.0,5.0,0,Kfc,Other,0.0
Lemon Juice Packet,5.0,0.0,0.0,0.0,0.0,20,1,0.0,0.0,0,Kfc,Other,0.0
Ranch - Dipping Sauce Cup,130.0,14.0,2.5,0.0,10.0,240,2,0.0,1.0,0,Kfc,Other,0.0
Sticky Chicky Sweet n' Sour Dipping Sauce Cup,45.0,0.0,0.0,0.0,0.0,180,11,0.0,10.0,0,Kfc,Other,0.0
Strawberry Jam Packet,35.0,0.0,0.0,0.0,0.0,0,9,0.0,6.0,0,Kfc,Other,0.0
Kentucky Fried Chicken Nuggets Kids Meal,170.0,8.0,1.0,0.0,65.0,690,7,0.0,0.0,17,Kfc,Chicken,10.0
Original Recipe® Tenders Kids Meal,350.0,12.0,1.5,0.0,60.0,810,39,0.0,0.0,21,Kfc,Other,6.0
Capri Sun® 100% Juice Fruit Punch,80.0,0.0,0.0,0.0,0.0,25,21,0.0,20.0,0,Kfc,Other,0.0
Chocolate Milk 1%,150.0,2.5,1.5,0.0,10.0,170,26,0.0,23.0,7,Kfc,Other,4.666666666666667
Milk 1%,90.0,2.0,1.5,0.0,10.0,105,10,0.0,10.0,7,Kfc,Other,7.777777777777778
Musselman's™ Applesauce,45.0,0.0,0.0,0.0,0.0,0,12,1.0,8.0,0,Kfc,Other,0.0
7UP® (12 fl oz),140.0,0.0,0.0,0.0,0.0,50,35,0.0,35.0,0,Kfc,Other,0.0
7UP® (16 fl oz),190.0,0.0,0.0,0.0,0.0,70,46,0.0,46.0,0,Kfc,Other,0.0
7UP® (20 fl oz),240.0,0.0,0.0,0.0,0.0,85,58,0.0,58.0,0,Kfc,Other,0.0
7UP® (30 fl oz),350.0,0.0,0.0,0.0,0.0,125,87,0.0,87.0,0,Kfc,Other,0.0
Classic Lemonade (1/2 Gallon),880.0,0.0,0.0,0.0,0.0,780,234,0.0,228.0,0,Kfc,Other,0.0
Classic Lemonade (20 fl oz),140.0,0.0,0.0,0.0,0.0,130,39,0.0,38.0,0,Kfc,Other,0.0
Code Red Mountain Dew® (12 fl oz),170.0,0.0,0.0,0.0,0.0,50,46,0.0,46.0,0,Kfc,Other,0.0
Code Red Mountain Dew® (16 fl oz),230.0,0.0,0.0,0.0,0.0,65,62,0.0,62.0,0,Kfc,Other,0.0
Code Red Mountain Dew® (20 fl oz),290.0,0.0,0.0,0.0,0.0,85,77,0.0,77.0,0,Kfc,Other,0.0
Code Red Mountain Dew® (30 fl oz),430.0,0.0,0.0,0.0,0.0,125,116,0.0,115.0,0,Kfc,Other,0.0
Diet Dr Pepper® (12 fl oz),0.0,0.0,0.0,0.0,0.0,70,0,0.0,0.0,0,Kfc,Other,
Diet Dr Pepper® (16 fl oz),0.0,0.0,0.0,0.0,0.0,95,0,0.0,0.0,0,Kfc,Other,
Diet Dr Pepper® (20 fl oz),0.0,0.0,0.0,0.0,0.0,120,0,0.0,0.0,0,Kfc,Other,
Diet Dr Pepper® (30 fl oz),0.0,0.0,0.0,0.0,0.0,180,0,0.0,0.0,0,Kfc,Other,
Diet Mountain Dew® (12 fl oz),0.0,0.0,0.0,0.0,0.0,55,1,0.0,0.0,0,Kfc,Other,
Diet Mountain Dew® (16 fl oz),5.0,0.0,0.0,0.0,0.0,75,1,0.0,0.0,0,Kfc,Other,0.0
Diet Mountain Dew® (20 fl oz),10.0,0.0,0.0,0.0,0.0,90,1,0.0,1.0,0,Kfc,Other,0.0
Diet Mountain Dew® (30 fl oz),10.0,0.0,0.0,0.0,0.0,140,1,0.0,1.0,0,Kfc,Other,0.0
Diet Pepsi® Wild Cherry Pepsi® (12 fl oz),0.0,0.0,0.0,0.0,0.0,35,0,0.0,0.0,0,Kfc,Other,
Diet Pepsi® Wild Cherry Pepsi® (16 fl oz),0.0,0.0,0.0,0.0,0.0,50,0,0.0,0.0,0,Kfc,Other,
Diet Pepsi® Wild Cherry Pepsi® (20 fl oz),0.0,0.0,0.0,0.0,0.0,60,0,0.0,0.0,0,Kfc,Other,
Diet Pepsi® Wild Cherry Pepsi® (30 fl oz),0.0,0.0,0.0,0.0,0.0,95,0,0.0,0.0,0,Kfc,Other,
Dr Pepper® (12 fl oz),140.0,0.0,0.0,0.0,0.0,45,39,0.0,38.0,0,Kfc,Other,0.0
Dr Pepper® (16 fl oz),190.0,0.0,0.0,0.0,0.0,60,52,0.0,51.0,0,Kfc,Other,0.0
Dr Pepper® (20 fl oz),240.0,0.0,0.0,0.0,0.0,75,65,0.0,64.0,0,Kfc,Other,0.0
Dr Pepper® (30 fl oz),360.0,0.0,0.0,0.0,0.0,110,98,0.0,96.0,0,Kfc,Other,0.0
Lipton® Brisk® Lemon Tea (12 fl oz),80.0,0.0,0.0,0.0,0.0,40,22,0.0,22.0,0,Kfc,Other,0.0
Lipton® Brisk® Lemon Tea (16 fl oz),110.0,0.0,0.0,0.0,0.0,55,29,0.0,29.0,0,Kfc,Other,0.0
Lipton® Brisk® Lemon Tea (20 fl oz),140.0,0.0,0.0,0.0,0.0,70,36,0.0,36.0,0,Kfc,Other,0.0
Lipton® Brisk® Lemon Tea (30 fl oz),210.0,0.0,0.0,0.0,0.0,105,55,0.0,54.0,0,Kfc,Other,0.0
Lipton® Brisk® No Calorie Peach Iced Green Tea (12 fl oz),0.0,0.0,0.0,0.0,0.0,105,0,0.0,0.0,0,Kfc,Other,
Lipton® Brisk® No Calorie Peach Iced Green Tea (16 fl oz),0.0,0.0,0.0,0.0,0.0,140,0,0.0,0.0,0,Kfc,Other,
Lipton® Brisk® No Calorie Peach Iced Green Tea (20 fl oz),5.0,0.0,0.0,0.0,0.0,180,0,0.0,0.0,0,Kfc,Other,0.0
Lipton® Brisk® No Calorie Peach Iced Green Tea (30 fl oz),10.0,0.0,0.0,0.0,0.0,270,0,0.0,0.0,0,Kfc,Other,0.0
Lipton® Brisk® Raspberry Tea (12 fl oz),80.0,0.0,0.0,0.0,0.0,45,20,0.0,20.0,0,Kfc,Other,0.0
Lipton® Brisk® Raspberry Tea (16 fl oz),100.0,0.0,0.0,0.0,0.0,55,26,0.0,26.0,0,Kfc,Other,0.0
Lipton® Brisk® Raspberry Tea (20 fl oz),130.0,0.0,0.0,0.0,0.0,70,33,0.0,33.0,0,Kfc,Other,0.0
Lipton® Brisk® Raspberry Tea (30 fl oz),190.0,0.0,0.0,0.0,0.0,110,49,0.0,49.0,0,Kfc,Other,0.0
Lipton® Brisk® Sweet Iced Tea (12 fl oz),80.0,0.0,0.0,0.0,0.0,45,22,0.0,21.0,0,Kfc,Other,0.0
Lipton® Brisk® Sweet Iced Tea (16 fl oz),110.0,0.0,0.0,0.0,0.0,65,29,0.0,29.0,0,Kfc,Other,0.0
Lipton® Brisk® Sweet Iced Tea (20 fl oz),130.0,0.0,0.0,0.0,0.0,80,36,0.0,36.0,0,Kfc,Other,0.0
Lipton® Brisk® Sweet Iced Tea (30 fl oz),200.0,0.0,0.0,0.0,0.0,120,54,0.0,54.0,0,Kfc,Other,0.0
Lipton® Brisk® Unsweetened No Lemon Iced Tea (12 fl oz),0.0,0.0,0.0,0.0,0.0,45,0,0.0,0.0,0,Kfc,Other,
Lipton® Brisk® Unsweetened No Lemon Iced Tea (16 fl oz),0.0,0.0,0.0,0.0,0.0,60,0,0.0,0.0,0,Kfc,Other,
Lipton® Brisk® Unsweetened No Lemon Iced Tea (20 fl oz),0.0,0.0,0.0,0.0,0.0,75,0,0.0,0.0,0,Kfc,Other,
Lipton® Brisk® Unsweetened No Lemon Iced Tea (30 fl oz),0.0,0.0,0.0,0.0,0.0,115,0,0.0,0.0,0,Kfc,Other,
Manzanita Sol® (12 fl oz),160.0,0.0,0.0,0.0,0.0,35,42,0.0,42.0,0,Kfc,Other,0.0
Manzanita Sol® (16 fl oz),210.0,0.0,0.0,0.0,0.0,45,57,0.0,57.0,0,Kfc,Other,0.0
Manzanita Sol® (20 fl oz),260.0,0.0,0.0,0.0,0.0,55,71,0.0,71.0,0,Kfc,Other,0.0
Manzanita Sol® (30 fl oz),400.0,0.0,0.0,0.0,0.0,80,106,0.0,106.0,0,Kfc,Other,0.0
Miranda® Strawberry (12 fl oz),160.0,0.0,0.0,0.0,0.0,70,44,0.0,44.0,0,Kfc,Other,0.0
Miranda® Strawberry (16 fl oz),220.0,0.0,0.0,0.0,0.0,95,58,0.0,58.0,0,Kfc,Other,0.0
